factor,PUT,SPX,VXX_like
PUT,1.0,0.8972143958968976,-0.6626596031372459
SPX,0.8972143958968976,1.0,-0.7160741300624441
VXX_like,-0.6626596031372459,-0.7160741300624441,1.0
