name,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,ann_turnover,avg_weight,max_weight,time_invested,feb_2018,cost_ticks
0 ticks,2695,10.69,0.08457767276236239,0.12622038954567144,0.5237307733296445,0.32184129935377254,1.7936111865552773,0.43960857071900383,-0.2017983435801184,0.4191197571886074,-3.003336318563886,30.673535329932108,-0.011772386552214438,-0.0219390747059354,-0.0251828855342771,-0.043330197093620196,-0.11648506529254246,-0.1324423846609436,0.04760466288735487,0.7116883116883117,1281,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,0.00016337210161876392,0.0
0.25 ticks,2695,10.69,0.07586455250651847,0.12619402067811003,0.4598521515440957,0.31981006805408946,1.574892863070173,0.40460819499239675,-0.21586394095604433,0.35144615710488913,-3.0083761845249555,30.718404934396368,-0.011817599698776531,-0.021972182832813988,-0.025193823788108017,-0.04336027069064921,-0.11654577965524858,-0.13320364599310397,0.04757588768518914,0.6749536178107607,1358,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-3.830179425368119e-05,0.25
0.5 ticks,2695,10.69,0.0672205373903283,0.12617224421943776,0.3959327559367989,0.31779542251172627,1.3559245708899805,0.3487495131474073,-0.22968465031378904,0.29266447408868373,-3.013071668389616,30.75877294547564,-0.011859122821835754,-0.02200535929346115,-0.025204762041938927,-0.043390344287678226,-0.11660649401795471,-0.13396450102696322,0.0475471124830234,0.6630797773654916,1376,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.00023997569012601527,0.5
0.75 ticks,2695,10.69,0.05864508626021614,0.12615506254783282,0.33197954589259865,0.31579884216360976,1.1367774106749138,0.2926540314798832,-0.24447568354348548,0.23988106060366038,-3.017425435742308,30.794613687916353,-0.01189188980244058,-0.022038697904894496,-0.02521570029576984,-0.043420417884707255,-0.11666720838066083,-0.13472494990556905,0.04751833728085767,0.6571428571428571,1419,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0004416495859984604,0.75
1 ticks,2695,10.69,0.05013766214714965,0.12614247754084165,0.26799949822667746,0.3138217888817447,0.917522688647245,0.23691832376378674,-0.2626280745035502,0.19090747339912395,-3.0214403464987374,30.825905052498953,-0.011924656783045403,-0.02207203651632785,-0.02522663854960075,-0.04345049148173627,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6515769944341373,1477,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0006433234818707945,1.0
1.25 ticks,2695,10.69,0.04169773223468565,0.1261344905743542,0.2039996033869477,0.3118657039233695,0.6982318006305576,0.18058924847266658,-0.2803457054699423,0.14873683249325298,-3.02511945173545,30.852628526931397,-0.01195742376365023,-0.022105375127761197,-0.02523865179670554,-0.043480565078765285,-0.11678863710607307,-0.1362446297690616,0.047460786876526204,0.6504638218923933,1507,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0008449973777432396,1.25
1.5 ticks,2695,10.69,0.03332476782724969,0.12613110252185195,0.13998686163963522,0.3099320048466622,0.47897611588790945,0.12416076447469789,-0.2976389564395394,0.11196373023844775,-3.0284659902682223,30.87476922108563,-0.012036789762929025,-0.022138713739194554,-0.02529778796372806,-0.043510638675794314,-0.1168493514687792,-0.1370038610398897,0.047432011674360466,0.6482374768089054,1910,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0010466712736155737,1.5
2 ticks,2695,10.69,0.01677764116093483,0.12613812413809716,0.011950864613401184,0.3061372974110657,0.04085500561784523,0.010652122369326595,-0.3309926090055977,0.05068886949270547,-3.0341752389448007,30.90526093020847,-0.012123059488771638,-0.02220850424758724,-0.02541606029777311,-0.04357078586985235,-0.11697078019419144,-0.13852110697433118,0.047374461270029,0.6452690166975881,2184,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0014500190653603529,2.0
3 ticks,2695,10.69,-0.015535838615626463,0.12620733694944153,-0.24396708703353484,0.2988755263896539,-0.8318544101868358,-0.21903493909686433,-0.41656196710152404,-0.03729538422272738,-3.0417653765503267,30.91100125047106,-0.012225570149171755,-0.022355765456448365,-0.025652604965863208,-0.043691080257968404,-0.11721363764501593,-0.14155073641428073,0.04725936046136607,0.6385899814471243,2390,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0022567146488499112,3.0
4 ticks,2695,10.69,-0.04683520237649064,0.1263499950792136,-0.4993077219699433,0.29211493516647646,-1.6961908879153926,-0.45146392731000046,-0.5028124598516246,-0.09314646337585047,-3.0444789528541696,30.843458969192696,-0.01238378834238111,-0.022506061744217685,-0.025916288683909616,-0.0438281271460575,-0.11745649509584041,-0.14457389023000677,0.047144259652703135,0.6330241187384045,2413,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0030634102323394696,4.0
