window,strategy,buy-and-hold -1x (XIV fee),buy-and-hold -0.5x (SVXY fee),Cboe PutWrite (PUT),"S&P 500 (SPY, total return)",constant weight 0.196 short,"strategy, hindsight floor","strategy, no crash budget"
gfc_2008,-0.03126952455247989,-0.734676562448882,-0.4656423385802103,-0.2548028515042894,-0.2895478440861484,-0.2119081020236474,-0.01829859497511288,-0.03126952455247989
euro_2011,-0.059626669942657085,-0.5989248721180462,-0.33622048985466146,-0.02827586838801832,-0.02459386047050316,-0.14118659925239274,-0.05781014713182986,-0.059626669942657085
aug_2015,-0.07950776100262791,-0.5300256505957107,-0.300358249286523,-0.05527220816300038,-0.08036494556611196,-0.12777632224125068,-0.05785974373843483,-0.07950776100262791
volmageddon_2018,-0.08922121430071739,-0.957988565326577,-0.4515409553845041,-0.02313001605136411,-0.04112250985601884,-0.16881375482097916,-0.03985652605451617,-0.08922121430071739
covid_2020,-0.04756053553188633,-0.7937462388682814,-0.5072995865011256,-0.1826855368991065,-0.13227774487999844,-0.23022347080336003,-0.04756053553188633,-0.04756053553188633
yen_carry_2024,-0.03191452641787795,-0.22456477062736147,-0.06651526593319235,0.026826545290593806,0.024167499422809158,-0.01523180892515974,-0.03191452641787795,-0.03355685427603727
