year,days,invested,contango_on,vrp_on
2008,237,0.4050632911392405,0.4050632911392405,0.890295358649789
2009,252,0.6309523809523809,0.6587301587301587,0.8968253968253969
2010,252,0.8928571428571429,0.9365079365079365,0.9563492063492064
2011,252,0.7023809523809523,0.7579365079365079,0.8968253968253969
2012,250,0.928,0.996,0.932
2013,252,0.876984126984127,0.996031746031746,0.8809523809523809
2014,252,0.8809523809523809,0.9682539682539683,0.9126984126984127
2015,252,0.6984126984126984,0.8452380952380952,0.8174603174603174
2016,252,0.7698412698412699,0.876984126984127,0.8214285714285714
2017,251,0.9681274900398407,1.0,0.9681274900398407
2018,251,0.549800796812749,0.7051792828685259,0.7250996015936255
2019,252,0.7063492063492064,0.8611111111111112,0.7976190476190477
2020,253,0.5296442687747036,0.5454545454545454,0.9446640316205533
2021,252,0.9642857142857143,0.9761904761904762,0.9880952380952381
2022,251,0.5896414342629482,0.7609561752988048,0.8247011952191236
2023,250,0.82,0.98,0.84
2024,252,0.6031746031746031,0.7976190476190477,0.7817460317460317
2025,250,0.728,0.836,0.84
2026,179,0.7821229050279329,0.8715083798882681,0.9106145251396648
