name,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,ann_turnover,avg_weight,max_weight,time_invested,feb_2018,parameter,value,is_baseline
contango_threshold = 0.95,2695,10.69,-0.0015848858117535336,0.1088989316731296,-0.17228793228749367,0.2989008608143194,-0.5393509526691113,-0.13479110900828625,-0.3026438529048916,-0.0052368015954766395,-4.256924143672681,50.39448657229797,-0.010006917057226875,-0.019393316112130715,-0.023591490609374335,-0.0400535676836524,-0.11672792274336695,-0.14255965689763894,0.03431384679235003,0.6961038961038961,2382,11.001126758550779,0.1457277576821045,0.6114597031749016,0.5892393320964749,-0.0006433234818707945,contango_threshold,0.95,False
contango_threshold = 0.975,2695,10.69,0.03333048765415603,0.1168632358754915,0.1413577192798438,0.31047546914447566,0.46605955483424427,0.12119424828787032,-0.1869603850055711,0.17827566868330333,-3.3888234036088165,38.792741730175266,-0.011078206498754607,-0.020301179046045288,-0.02386438719034313,-0.04025172197353815,-0.11672792274336695,-0.14255965689763894,0.04648308672740454,0.6656771799628942,1355,11.30846017784604,0.16297370696136532,0.6114597031749016,0.67569573283859,-0.0006433234818707945,contango_threshold,0.975,False
contango_threshold = 1.0,2695,10.69,0.05013766214714965,0.12614247754084165,0.26799949822667746,0.3138217888817447,0.917522688647245,0.23691832376378674,-0.2626280745035502,0.19090747339912395,-3.0214403464987374,30.825905052498953,-0.011924656783045403,-0.02207203651632785,-0.02522663854960075,-0.04345049148173627,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6515769944341373,1477,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0006433234818707945,contango_threshold,1.0,True
contango_threshold = 1.025,2695,10.69,0.022472533787045945,0.15052637891681622,0.07316559374630101,0.3115471328242193,0.22923340783437632,0.05988360621943281,-0.38818098250342525,0.05789189785166163,-8.047338738892925,172.26529111598435,-0.012471346385198173,-0.02454850526309912,-0.026459951502478693,-0.05280782843712568,-0.24190048204947842,-0.28496122507087696,0.047489562078691934,0.6222634508348794,2184,12.201117332888288,0.18154023789534376,0.6114597031749016,0.7758812615955473,-0.243002385205223,contango_threshold,1.025,False
vol_target = 0.1,2695,10.69,0.03686167569169352,0.09901304413093563,0.1812770366541303,0.31074159577575594,0.6174736965346042,0.16118918190030448,-0.2441245668507781,0.15099535522873178,-2.7888620049571977,24.116616272837003,-0.009812585072288136,-0.017813665239249536,-0.01978796806450025,-0.03421105901827751,-0.08494934579425427,-0.1021511999916821,0.03167080344713708,0.6545454545454545,1477,9.179942110623848,0.1389055958663002,0.5537171031458769,0.7261595547309833,-0.00036413565255832836,vol_target,0.1,False
vol_target = 0.15,2695,10.69,0.05013766214714965,0.12614247754084165,0.26799949822667746,0.3138217888817447,0.917522688647245,0.23691832376378674,-0.2626280745035502,0.19090747339912395,-3.0214403464987374,30.825905052498953,-0.011924656783045403,-0.02207203651632785,-0.02522663854960075,-0.04345049148173627,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6515769944341373,1477,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0006433234818707945,vol_target,0.15,True
vol_target = 0.2,2695,10.69,0.06722628709424883,0.14293416105903434,0.3656298562290193,0.3161301186899538,1.2657088246040487,0.3249972368218344,-0.28691794339090704,0.23430492460576918,-2.816571655520159,29.102496509077838,-0.012907806778192246,-0.024408223151876886,-0.028307795735673456,-0.04956734359156813,-0.11672792274336695,-0.1353723477282185,0.06330751198861981,0.6512059369202227,1475,12.317683303540136,0.19181074827965916,0.6114597031749016,0.7261595547309833,-0.0009336193748308297,vol_target,0.2,False
max_stress_loss = 0.1,2695,10.69,0.056666962280733646,0.0811540474144929,0.43429449246024643,0.3172674910227569,1.5431365074846246,0.3877874037391458,-0.13764624748893384,0.411685485906831,-2.5864474607366956,31.725578019724573,-0.006843712009419957,-0.01339618773147264,-0.015321734195238152,-0.02826043046271134,-0.05834543253659112,-0.08705171867473371,0.04338865846492538,0.663821892393321,1358,6.529661490819945,0.10376925036516405,0.3536495659034172,0.7261595547309833,-0.0004526698910201077,max_stress_loss,0.1,False
max_stress_loss = 0.2,2695,10.69,0.05013766214714965,0.12614247754084165,0.26799949822667746,0.3138217888817447,0.917522688647245,0.23691832376378674,-0.2626280745035502,0.19090747339912395,-3.0214403464987374,30.825905052498953,-0.011924656783045403,-0.02207203651632785,-0.02522663854960075,-0.04345049148173627,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6515769944341373,1477,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833,-0.0006433234818707945,max_stress_loss,0.2,True
max_stress_loss = 0.3,2695,10.69,0.039329783986465694,0.148487677330705,0.17907473642186095,0.31068107738298123,0.6098309121189165,0.15922700756907748,-0.36921776789557814,0.10652191580766208,-2.788435829655484,24.111945997054356,-0.014754935594208858,-0.026763791551939926,-0.029758014214039993,-0.051358134025837616,-0.1274454654736029,-0.15228494356221067,0.047489562078691934,0.650834879406308,1599,13.882601101103376,0.20835839379945026,0.8305756547188151,0.7261595547309833,-0.0006433234818707945,max_stress_loss,0.3,False
