symbol,L,start,end,icpt_theory_slope,minus_fee,rf_minus_fee,gap_vs_minus_fee_pp,gap_vs_rf_minus_fee_pp
VIXY,1.0,2011-01-05,2026-09-18,0.003036852590156881,-0.0085,0.00719101094983448,1.1536852590156883,-0.41541583596775983
VXX,1.0,2018-01-26,2026-09-18,0.01842355266854204,-0.0089,0.01773105043961129,2.732355266854204,0.06925022289307504
SVXY,-1.0,2011-10-05,2018-01-31,-0.029910327751127393,-0.0095,-0.006966666666666666,-2.0410327751127397,-2.2943661084460727
SVXY,-0.5,2018-02-28,2026-09-18,-0.0016518552689147102,-0.0095,0.01724675081813932,0.7848144731085289,-1.8898606087054028
UVXY,2.0,2011-10-05,2018-01-31,-0.007908077522512212,-0.0095,-0.006966666666666666,0.1591922477487788,-0.09414108558455456
UVXY,1.5,2018-02-28,2026-09-18,0.0033061328501020047,-0.0095,0.01724675081813932,1.2806132850102003,-1.3940617968037314
SVIX,-1.0,2022-03-31,2026-09-18,-0.08747919337015796,-0.0135,0.028274193548387103,-7.397919337015796,-11.575338691854506
