name,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,ann_turnover,avg_weight,max_weight,time_invested,feb_2018,contango_threshold,vol_target,max_stress_loss,rebalance,is_chosen
cell,2695,10.69,0.015992373045255137,0.061216596017404555,-0.08927800770703885,0.302326465829621,-0.2766227682179529,-0.1070853907742539,-0.12382591849177282,0.1291520647700077,-4.093190610294309,46.14847278348297,-0.00557118200469122,-0.010670590796160584,-0.011990872539642835,-0.02231312117943229,-0.05834543253659112,-0.07199496809189054,0.017989717343224812,0.7027829313543599,1506,5.949256595512355,0.08125531236368842,0.3057298515874508,0.5907235621521336,-0.00036413565255832836,0.95,0.1,0.1,1,False
cell,2695,10.69,0.018552605381700005,0.10369908182074895,0.011323867480251161,0.3081983067549654,0.03991436909225451,0.012541646308638263,-0.316084404878039,0.0586950988260826,-22.025030268529886,848.4383305804478,-0.005463524647041835,-0.012964958484663792,-0.013267301737459465,-0.032514649657464714,-0.2531496058336103,-0.27621013049184406,0.06736718960501376,0.7428571428571429,2184,3.9567608106250285,0.08107681248384888,0.3057298515874508,0.5862708719851577,-0.2028363937232237,0.95,0.1,0.1,5,False
cell,2695,10.69,0.04969361118879645,0.0765732383906861,0.3688044320285648,0.3164480240510334,1.4133823687411076,0.4734978392882343,-0.10317801252387926,0.4816298547841817,-2.7895019481761363,46.59802596573319,-0.005765370924436823,-0.012350861696195611,-0.013551231525416518,-0.02696381557349741,-0.07132262653736149,-0.0762846091244439,0.043700935460452554,0.7473098330241187,916,3.2316947830960694,0.0830171382096344,0.3057298515874508,0.5925788497217068,-0.0004526698910201077,0.95,0.1,0.1,21,False
cell,2695,10.69,-0.002914452423374847,0.0856141138047489,-0.2620945274667064,0.2967674154945101,-0.8344898165107844,-0.3112416290993252,-0.2655898997248485,-0.010973506245509426,-3.692643125333334,38.36973452530175,-0.008043894602059001,-0.015712874834631654,-0.017779336467911334,-0.030673855969931867,-0.08494934579425427,-0.10805185814684459,0.022887790395778953,0.6938775510204082,2382,9.208276607804185,0.11780875190678172,0.5537171031458769,0.5907235621521336,-0.00036413565255832836,0.95,0.1,0.2,1,False
cell,2695,10.69,0.011029617269041614,0.12129828171710502,-0.03495034906041924,0.30101396948492576,-0.12443497862906899,-0.03975277020700526,-0.3972775756049556,0.02776299984273271,-14.318480021544547,456.4150470350607,-0.008086248821111463,-0.018192671317497966,-0.02028447078969456,-0.040993428091729615,-0.2531496058336103,-0.27552227530306317,0.06736718960501376,0.7365491651205937,2184,6.08653978321278,0.1174634034819371,0.5420226380778954,0.5862708719851577,-0.2028363937232237,0.95,0.1,0.2,5,False
cell,2695,10.69,0.03756675748253846,0.10604424973451779,0.1825086661500558,0.31083302925062123,0.6854144313684478,0.2282369794202002,-0.19231242579279662,0.1953423307291337,-2.7911569673512386,33.18875166708538,-0.008452811498837334,-0.018321174218428982,-0.020330824590467752,-0.03864069638921518,-0.0878967046663562,-0.15009190699999153,0.05231737849666477,0.7428571428571429,1369,4.8278602167431,0.11783394033749225,0.39349627899250467,0.5925788497217068,-0.0005589638088286941,0.95,0.1,0.2,21,False
cell,2695,10.69,-0.015026461225236543,0.09495317706957301,-0.355961983509578,0.2933078033339248,-1.147224826273144,-0.4191405934068439,-0.3059402804801964,-0.049115667939021876,-3.789613341893103,37.781844651026624,-0.009345838227601336,-0.017585806481424857,-0.01989236485211077,-0.03492769238255325,-0.08494934579425427,-0.10805185814684459,0.022887790395778953,0.6938775510204082,2382,10.401499816863266,0.1295267408139649,0.5537171031458769,0.5907235621521336,-0.00036413565255832836,0.95,0.1,0.3,1,False
cell,2695,10.69,0.004683624777414019,0.12955086997798634,-0.07320843516490577,0.2974118697658062,-0.2646238980631436,-0.08393901905721078,-0.43274588569693495,0.01082303710379838,-12.121580357982488,354.1897366155086,-0.009460732505591141,-0.02018305839703404,-0.022875467379468897,-0.04531750584110244,-0.2531496058336103,-0.27552227530306317,0.06736718960501376,0.7365491651205937,2184,6.919301265477935,0.12900950385329749,0.5420226380778954,0.5862708719851577,-0.2028363937232237,0.95,0.1,0.3,5,False
cell,2695,10.69,0.02236018591292943,0.12179160648884368,0.05311544864821864,0.3078168781929752,0.19490600927578988,0.06483064941662599,-0.2542254476247596,0.08795416085148715,-3.9206872185437818,55.20373945658638,-0.009360591070716674,-0.0208171799274695,-0.023645503123625636,-0.04611509378684849,-0.13207469762384094,-0.2204839094421921,0.05862416159011121,0.7428571428571429,1556,5.329949126041238,0.1267850929104694,0.39349627899250467,0.5925788497217068,-0.0005589638088286941,0.95,0.1,0.3,21,False
cell,2695,10.69,-0.01701273232838696,0.09639242035722502,-0.3701424122991599,0.2930204736269389,-1.1957567891924659,-0.4357686209720747,-0.3045566495137978,-0.05586064975283426,-3.7296961243812987,36.325619962930325,-0.00946192932400782,-0.017890872121214426,-0.020558059526570808,-0.03577044598527246,-0.08494934579425427,-0.10805185814684459,0.022887790395778953,0.6935064935064935,2382,10.639811836154712,0.13164218494236637,0.5537171031458769,0.5907235621521336,-0.00036413565255832836,0.95,0.1,1.0,1,False
cell,2695,10.69,0.0037698163367116955,0.1311231488203355,-0.07768761931670458,0.29718245862117515,-0.2817453359888947,-0.08923064222970815,-0.4304012603341807,0.008758841304936375,-11.748552940337111,337.90860456478237,-0.009555536312872348,-0.020541166072248235,-0.02392918579637554,-0.046371916230444725,-0.2531496058336103,-0.27552227530306317,0.06736718960501376,0.736178107606679,2184,7.1193350325389515,0.1312361991848346,0.5420226380778954,0.5862708719851577,-0.2028363937232237,0.95,0.1,1.0,5,False
cell,2695,10.69,0.017037622182638934,0.1280376097441857,0.01638338324224375,0.3065357545117939,0.05969174420715003,0.01981519350565049,-0.2980044764676747,0.057172369974405564,-4.707899773488863,77.1073502189771,-0.009661625363914619,-0.02154729524357203,-0.024124017459133434,-0.04879811942361087,-0.15756591217378244,-0.25956195807727045,0.06983325621229024,0.7428571428571429,1557,5.437616959873583,0.12843072009958362,0.39349627899250467,0.5925788497217068,-0.0005589638088286941,0.95,0.1,1.0,21,False
cell,2695,10.69,0.017054221587274654,0.06965118679794496,-0.05535407535779302,0.3035132225067473,-0.1709797193987573,-0.06644606845233958,-0.1488070246765807,0.11460629378445367,-4.321650939605484,49.55876217749535,-0.005838981604601002,-0.011899008757643083,-0.013410724346075417,-0.026086019886661285,-0.05834543253659112,-0.08705171867473371,0.02335847047012435,0.7024118738404452,1514,6.412323480230736,0.08803411964827548,0.3536495659034172,0.5907235621521336,-0.0004526698910201077,0.95,0.15,0.1,1,False
cell,2695,10.69,0.018757502613439447,0.11954231290065839,0.029625477758483558,0.31224404690357943,0.10534814109577048,0.03283736123430718,-0.35494703884880807,0.052845919420190804,-22.45307678941477,872.4746433422699,-0.005986526177779391,-0.01445401896104809,-0.014031819122684069,-0.03741309574801935,-0.2938429201337189,-0.31979698768663545,0.07807715165126392,0.7432282003710575,2184,4.242482065904983,0.0878142754652923,0.3536495659034172,0.5862708719851577,-0.23870818671938565,0.95,0.15,0.1,5,False
cell,2695,10.69,0.05623654434202541,0.08776311084210889,0.40335862763263736,0.3210974222392541,1.6161946728789252,0.5191471675771119,-0.13802031313917662,0.40745121542593316,-3.5457666798593257,79.40795445154684,-0.006166376327104406,-0.013475941951235108,-0.014476693874250605,-0.03044700688427398,-0.10699655985329937,-0.09561513622476836,0.060601552967531745,0.7473098330241187,901,3.4634692162707785,0.09008346850471353,0.3265875248509429,0.5925788497217068,-0.0004526698910201077,0.95,0.15,0.1,21,False
cell,2695,10.69,-0.0016827176031343205,0.10827931850186005,-0.17485475769851777,0.2989008437275743,-0.547278119920128,-0.2081246153351866,-0.28579442116942566,-0.005887860218715626,-4.198158753878684,50.55059955077956,-0.010053534252019039,-0.01928765944759577,-0.02328512120199178,-0.03905009989489437,-0.11672792274336695,-0.14255965689763894,0.03431384679235003,0.6931354359925789,2382,11.091219859405363,0.14590758144946203,0.6114597031749016,0.5907235621521336,-0.0006433234818707945,0.95,0.15,0.2,1,False
cell,2695,10.69,0.00408644928990598,0.16624408815416197,-0.017121414604876033,0.30277088895723653,-0.06014112677632116,-0.019160653810288,-0.5034823221528995,0.008116370943139075,-18.381081250676313,652.8038822773817,-0.010115803575392842,-0.022892872837483924,-0.024031123357882413,-0.05430324654618914,-0.3798007916418875,-0.4079220107171422,0.10054327654994331,0.7354359925788497,2184,7.400865364098237,0.14544517351596184,0.6114597031749016,0.5862708719851577,-0.317443931119882,0.95,0.15,0.2,5,False
cell,2695,10.69,0.05412075308817199,0.1340992946825597,0.2880557272602019,0.31373828327761105,1.0923274395562488,0.3655484822442735,-0.21058868772530548,0.2569974373873671,-2.7235682576815887,38.99572976803917,-0.01072347168103627,-0.02239451589399011,-0.026407301846133862,-0.04786752991194193,-0.10699655985329937,-0.15009190699999153,0.07843215458553601,0.7424860853432282,1368,5.989778316305753,0.14775441473384998,0.590244418488757,0.5925788497217068,-0.000949281719414774,0.95,0.15,0.2,21,False
cell,2695,10.69,-0.018946640877845478,0.12838895502146014,-0.2644008685450586,0.2966894188441154,-0.8416278647387766,-0.31395148825357827,-0.3993922504300794,-0.0474386792869493,-3.6918291616707024,38.36425555523012,-0.012110728380150109,-0.02361004406588133,-0.026739491073536986,-0.04605039273612111,-0.1274454654736029,-0.16061156173183422,0.03431384679235003,0.6920222634508348,2382,13.911652727141815,0.17671312786017257,0.8305756547188151,0.5907235621521336,-0.0006433234818707945,0.95,0.15,0.3,1,False
cell,2695,10.69,-0.0025625452534001614,0.18190858334639134,-0.03696331176323973,0.30073788827696213,-0.13149689211917034,-0.04203356317420687,-0.5675152823019898,-0.004515376648547349,-14.332911184264294,456.8941600490261,-0.012174653489603832,-0.027330445359794887,-0.030498218466043257,-0.06153456163809848,-0.3798007916418875,-0.4079220107171422,0.10054327654994331,0.7346938775510204,2184,9.256966912940658,0.17619510522290557,0.813033957116843,0.5862708719851577,-0.317443931119882,0.95,0.15,0.3,5,False
cell,2695,10.69,0.03973371971815709,0.1590608319937758,0.18011095871869476,0.31076744604702433,0.6762984498902807,0.2252069254324797,-0.29462301854029604,0.13486291707625908,-2.7930993473204757,33.23644481947149,-0.012732565533104678,-0.02752658789125176,-0.03053793498441735,-0.05801381143730268,-0.13207469762384094,-0.2204839094421921,0.07843215458553601,0.7417439703153988,1419,7.371972876792448,0.1767509105062384,0.590244418488757,0.5925788497217068,-0.000949281719414774,0.95,0.15,0.3,21,False
cell,2695,10.69,-0.040481886833330316,0.14455921622527934,-0.372556460971364,0.2929392962514772,-1.2032235079038227,-0.43856981038760645,-0.48675972237760134,-0.08316605703445344,-3.7305767106100336,36.323150698124806,-0.014206720883345285,-0.026880668933829035,-0.03084620125080732,-0.053702531104884654,-0.1274454654736029,-0.16061156173183422,0.03431384679235003,0.6909090909090909,2382,16.077729719207554,0.19746327741354958,0.8305756547188151,0.5907235621521336,-0.0006433234818707945,0.95,0.15,1.0,1,False
cell,2695,10.69,-0.01432023942110916,0.19664388903885055,-0.07994540552436674,0.29693111086589324,-0.2897140205640394,-0.09180452850953315,-0.6044153082349932,-0.02369271463842794,-11.760834906972141,338.2520912456405,-0.01434604470618618,-0.03085721387274591,-0.03597454023509068,-0.0696044691729248,-0.3798007916418875,-0.4079220107171422,0.10054327654994331,0.7335807050092764,2184,10.833992740805368,0.19685429877725188,0.813033957116843,0.5862708719851577,-0.317443931119882,0.95,0.15,1.0,5,False
