spec,term,coef,se_hac,t_hac,p_hac,se_ols,hac_lags,n,r2,first,last
log (primary),const,-2.1656902378981613,0.3237432015395481,-6.689531170382285,2.4540640153884847e-11,0.0942582965070625,20,5671,0.5362151122136136,2004-02-04,2026-08-19
log (primary),rv_d,0.09463447225806476,0.010989627738454572,8.611253675765804,9.250802018909936e-18,0.011782295545834817,20,5671,0.5362151122136136,2004-02-04,2026-08-19
log (primary),rv_w,0.312366104398734,0.043157058271118424,7.237891480842097,5.163352583245621e-13,0.02061977072927745,20,5671,0.5362151122136136,2004-02-04,2026-08-19
log (primary),rv_m,0.33621909129396954,0.049944872350400786,6.731803996517202,1.8409950848486612e-11,0.018726502705921494,20,5671,0.5362151122136136,2004-02-04,2026-08-19
level,const,6.390324090994271e-05,1.341152632595314e-05,4.764800020284134,1.937578063208124e-06,3.7655601584071527e-06,20,5671,0.36710017131169315,2004-02-04,2026-08-19
level,rv_d,0.10679447942243314,0.026392051714019923,4.0464637073176855,5.268904058556137e-05,0.010390510306017602,20,5671,0.36710017131169315,2004-02-04,2026-08-19
level,rv_w,0.2320935744905812,0.08761645287686318,2.648972503107005,0.008096084724154424,0.017092385791231592,20,5671,0.36710017131169315,2004-02-04,2026-08-19
level,rv_m,0.22182200310592104,0.0896881737030564,2.473258111379759,0.013417846249961457,0.016607533364083188,20,5671,0.36710017131169315,2004-02-04,2026-08-19
