window,leverage,n,max_abs_daily_return,exact,approx,error_pp
2018-02-07_volmageddon,-1.0,21,0.9610261470152934,-0.9612592098850996,-0.6835204526053447,27.773875727975494
2018-02-07_volmageddon,2.0,21,0.9610261470152934,1.0527042169179723,0.783758017428964,-26.894619948900832
2018-02-07_volmageddon,-0.5,21,0.9610261470152934,-0.4762171554167911,-0.395580654488775,8.06365009280161
2018-02-07_volmageddon,1.5,21,0.9610261470152934,1.0014345813890482,0.9142495299968836,-8.71850513921646
2016-07-08_typical,-1.0,21,0.3270861496866166,-0.14655548890191084,-0.12324130084874052,2.3314188053170315
2016-07-08_typical,2.0,21,0.3270861496866166,-0.26179468785222515,-0.2654586178506766,-0.3663929998451443
2016-07-08_typical,-0.5,21,0.3270861496866166,-0.04614573747262585,-0.04107930749606625,0.5066429976559594
2016-07-08_typical,1.5,21,0.3270861496866166,-0.14608097525124863,-0.1478027145355305,-0.17217392842818757
2020-03-20_covid,-1.0,21,0.3488099882949669,-0.8423631250820498,-0.8299154917723944,1.244763330965537
2020-03-20_covid,2.0,21,0.3488099882949669,13.457692118244584,12.819736138988182,-63.7955979256402
2020-03-20_covid,-0.5,21,0.3488099882949669,-0.5786375349174218,-0.5715276253092691,0.7109909608152609
2020-03-20_covid,1.5,21,0.3488099882949669,7.136072351743504,7.037965814018849,-9.81065377246555
2024-08-16_yen_carry,-1.0,22,0.4237688986142354,-0.3416725393084239,-0.2885650181803766,5.310752112804728
2024-08-16_yen_carry,2.0,22,0.4237688986142354,-0.16014843355474595,-0.18085173669586319,-2.0703303141117235
2024-08-16_yen_carry,-0.5,22,0.4237688986142354,-0.13821184942534215,-0.12501709404699757,1.319475537834458
2024-08-16_yen_carry,1.5,22,0.4237688986142354,-0.031393622036389957,-0.038791134485943735,-0.7397512449553778
