bound,date,assets_usd,coef_before,coef_after,flow_before_usd,flow_after_usd,contracts_before,contracts_after,share_oi_front_before,share_oi_front_after,reduction
lower,2018-02-05,962668883.7032826,2.0,0.75,1850299936.3137586,693862476.1176596,55689.99055872863,20883.746459523238,0.24995058687783264,0.09373147007918725,0.625
upper,2018-02-05,5069304152.320711,2.0,0.75,9743467675.106802,3653800378.165051,293257.11587981344,109971.41845493006,1.31621118058838,0.4935791927206426,0.625
