refit_date,const,rv_d,rv_w,rv_m
2008-01-25,-3.8170671272338623,0.05195949712493403,0.30733245024728945,0.2388328119839986
2008-02-26,-2.8592769666585482,0.061572829405723395,0.30359237868627453,0.32434952747084683
2008-03-27,-2.5009456522191043,0.06179646311252751,0.2896358861076255,0.3726518436022749
2008-04-25,-2.452059861647456,0.06464656586081474,0.27467367687914374,0.38935051168961693
2008-05-27,-2.624508388000231,0.06275819021787427,0.2895583464345368,0.35979321881355486
2008-06-25,-2.6141764306168076,0.06167386340348324,0.2898428117221784,0.3614906143147149
2008-07-25,-2.435714384139716,0.061047599720125245,0.30008944582547714,0.36850315213234563
2008-08-25,-2.4131395996773928,0.06277449282944458,0.3001179245476163,0.36882481632302994
2008-09-24,-2.1569761441835755,0.06328610524483252,0.2975899000503369,0.39524827768736276
2008-10-23,-1.212775897017849,0.07590913968972257,0.39145191877262064,0.379521649589693
2008-11-21,-0.30544302266755485,0.08245422124218793,0.41157339816025534,0.4417246979307927
2008-12-23,-0.4540334892359672,0.08259439056082363,0.4059440517311987,0.43253419174337177
2009-01-26,-0.748099040564118,0.08191092425032875,0.41185756401398127,0.3983742422850654
2009-02-25,-0.5419996043105014,0.084307682397745,0.38797957259470106,0.43982112259173206
2009-03-26,-0.4151673810644084,0.08003902750647485,0.38934089262459987,0.45505806958100004
2009-04-27,-0.49123602721678455,0.07969358022349049,0.3867455884021206,0.45056152267251326
2009-05-27,-0.6009625840953885,0.07864643998228016,0.3938850943612558,0.4338231892752223
2009-06-25,-0.6578127653635075,0.07819120406999103,0.39698883415998687,0.42576268916341553
2009-07-27,-0.7030261969395547,0.07734733928872672,0.3978056341420032,0.4215454246084982
2009-08-25,-0.7138358341760669,0.0763250222985844,0.39438517914889115,0.4250211306713213
2009-09-24,-0.725321526333668,0.07546999344746019,0.39484339417932646,0.42441086339375617
2009-10-23,-0.7204125350974864,0.07406331035269298,0.39259604278166366,0.42843731015375514
2009-11-23,-0.7176145371277395,0.07211444253462318,0.38826112717655975,0.4348902661155308
2009-12-23,-0.7120574883709087,0.07126255680585969,0.3863599155737557,0.43807150917425247
2010-01-26,-0.7479983416641395,0.07080701052637972,0.38749437118553764,0.43460676989095054
2010-02-25,-0.7821281870507466,0.07266599432203824,0.3776880089873748,0.43801502033187406
2010-03-26,-0.8084562991436665,0.07418738815034276,0.37472238310906725,0.4372562642953008
2010-04-27,-0.8150681301760155,0.07248212692420075,0.377555284774815,0.4356445774593816
2010-05-26,-0.8476116992652236,0.07067051789446677,0.36248188895249156,0.44711866901107145
2010-06-25,-0.85339711074821,0.07961586129648945,0.37486163737466355,0.4240406429617506
2010-07-27,-0.8987339617987276,0.07950604451042165,0.3749779831270631,0.41966921306005284
2010-08-25,-0.9186504356905163,0.07883087365898755,0.3718636635272022,0.42163150255424614
2010-09-24,-0.9244025535120896,0.07801890655688604,0.37000473823316005,0.42379710867395326
2010-10-25,-0.9432029902390423,0.07768734600010929,0.3705440265850912,0.42196948569616527
2010-11-23,-0.9455911123594533,0.07593970927425875,0.3701828545136602,0.4239011959171266
2010-12-23,-0.9471720814334437,0.07467065622597724,0.3701596273084654,0.42511712075486136
2011-01-25,-0.9571133453296984,0.07562835916580013,0.3754030625192827,0.41876269946178307
2011-02-24,-0.9642879354437048,0.07500378343003489,0.36646388222354814,0.42749293434458063
2011-03-25,-1.009679547475593,0.07519201769251349,0.36429261046134265,0.4240229657757394
2011-04-26,-1.0324380302080323,0.07539083333539676,0.3607914368084824,0.4249332647246963
2011-05-25,-1.033105284621687,0.07459042048970616,0.36283248177709515,0.42379435382287844
2011-06-24,-1.039923648203284,0.07430882585223803,0.35912421417619683,0.4268898259672019
2011-07-26,-1.041786964779886,0.0735248351319277,0.35879381485734013,0.4277964799155866
2011-08-24,-1.0233964795436392,0.07469827827062137,0.35941229164561345,0.4266535797932923
2011-09-23,-0.990085400072156,0.08089547612467046,0.37142926520684866,0.410964561889573
2011-10-24,-0.9893901661623753,0.07961717846003386,0.37204166147381884,0.4116907288917792
2011-11-22,-1.0078897616081932,0.07928894887652355,0.36829495095206877,0.41393624376281185
2011-12-22,-0.9877974834733387,0.07813755893007157,0.36711215564209576,0.4181875540067494
2012-01-25,-1.0394692835951513,0.07539598088896143,0.3729321655927478,0.410225204025591
2012-02-24,-1.0473903935239315,0.07668005209261852,0.37454660399333667,0.4067971952082366
2012-03-26,-1.038044145410063,0.07731059247390332,0.3742682308987097,0.4080226729035357
2012-04-25,-1.0498330072862179,0.07620541677399051,0.37528591220694,0.4067499228247958
2012-05-24,-1.057684891849423,0.07471955248154477,0.37696901914144143,0.40558710726851893
2012-06-25,-1.0612777005974905,0.07516286396009214,0.37479761343360435,0.40652128407498234
2012-07-25,-1.0707423224181665,0.07450841228678323,0.37348797322996574,0.40769996219249166
2012-08-23,-1.0721374579245226,0.07248708701604867,0.3732947982446641,0.40972638758141794
2012-09-24,-1.0721953743226815,0.07412187490340655,0.37667309444694974,0.40539500760280445
2012-10-23,-1.0683281618698623,0.07305382553106504,0.3773535537900121,0.40626649239093005
2012-11-26,-1.088367705037382,0.07352030498042622,0.3752787018733818,0.4055086799084739
2012-12-26,-1.0915688543329178,0.0730290427532414,0.3718250175942183,0.40929313137534945
2013-01-28,-1.103969794368349,0.0708216362308891,0.36813527455256023,0.41364344905512335
2013-02-27,-1.0820438554302145,0.07092907472473553,0.3640693102670139,0.4203014459948673
2013-03-28,-1.08985831405711,0.07117300839422774,0.3597549775665381,0.42349529799954044
2013-04-29,-1.089912161142415,0.07142540877687398,0.35330143057197577,0.4297392355452815
2013-05-29,-1.0810384474054917,0.07084573823684431,0.3505656208894631,0.4342193927354154
2013-06-27,-1.1218645778041612,0.0720103190901566,0.343336069334986,0.4355005247470489
2013-07-29,-1.1329478604211716,0.07001663763233573,0.3469705980038872,0.43266238849836447
2013-08-27,-1.1449554391185506,0.07211244544464868,0.3530934617993215,0.42381605091764707
2013-09-26,-1.1577296632439467,0.0716750727756062,0.35405619646396813,0.4218153360016845
2013-10-25,-1.1559142715320105,0.06970930612296644,0.35125098092353335,0.4268662116204436
2013-11-25,-1.1278901498823815,0.07005103801809981,0.34712407621141333,0.4339926758844228
2013-12-26,-1.1091476208861544,0.06959732800417628,0.35171325133409603,0.4320647577286483
2014-01-28,-1.1119196343055477,0.06849828774601507,0.348018934379931,0.4365710504895225
2014-02-27,-1.1784130389262608,0.07061568979807381,0.34038902957092265,0.43466284620595247
2014-03-28,-1.174190901107847,0.07058404302456045,0.3367510680354546,0.4389732070645425
2014-04-29,-1.1732100854350804,0.06984045005580775,0.33658048571467364,0.4400386339953026
2014-05-29,-1.1687804096281558,0.06919429698725249,0.3353592846257898,0.44260672113096133
2014-06-27,-1.1279512638468974,0.070595952225464,0.33925178828794594,0.4421706500737467
2014-07-29,-1.1201969568038856,0.06967403951826062,0.34261228819407064,0.44061355223857757
2014-08-27,-1.1495708833772031,0.06948112140240087,0.3415257676851249,0.4386507927168032
2014-09-26,-1.1255415564861682,0.07029812618085668,0.3362991000272078,0.4459362399881432
2014-10-27,-1.1741416431639353,0.06990133327837,0.34101134194201504,0.43616132238673844
2014-11-25,-1.2025884097349018,0.07274414169317245,0.337464169592589,0.43385605098849234
2014-12-26,-1.2360203770101919,0.07486757314245907,0.33710998129481,0.42876543104112763
2015-01-28,-1.3186367326751143,0.0752256075126978,0.338208387864818,0.41805467004409574
2015-02-27,-1.3308059794962168,0.07704051887894903,0.32417949027694654,0.42878224266383996
2015-03-30,-1.3516648074452275,0.0785414942143221,0.3249046641577502,0.4249497332738993
2015-04-29,-1.352805582807052,0.07817584319800341,0.32051197663667125,0.42958048147326766
2015-05-29,-1.345636341503652,0.07777630643257921,0.3197390484482229,0.4316394627409023
2015-06-29,-1.3344577319405186,0.07775162869858432,0.31805333137348524,0.4347611811479918
2015-07-29,-1.365622253247252,0.07684383065343237,0.32083854734713485,0.4292956316985935
2015-08-27,-1.3714310363199684,0.08121372503223778,0.3012914301923973,0.4438217593915102
2015-09-28,-1.4324033162394356,0.08524958843211616,0.3047548015220252,0.4286177225855098
2015-10-27,-1.4658570150506218,0.08459732513683993,0.30549011206153137,0.4253482165489539
2015-11-25,-1.507394403711913,0.08505930160572034,0.31329657866348126,0.4134034387457802
2015-12-28,-1.5170701191696598,0.08491882083749924,0.3132968767013691,0.41249032942107355
2016-01-28,-1.5422692626990182,0.08312221384203322,0.3233877692904508,0.40097714730174033
2016-02-29,-1.529888596210827,0.08549489890970002,0.3174033851998645,0.40545959984693475
2016-03-30,-1.588311988543247,0.08562572464833035,0.32062940918017174,0.396531180424005
2016-04-28,-1.6064331715090563,0.08577189728739087,0.3262423080323525,0.3893044097360193
2016-05-27,-1.6028339147819393,0.08526239259244683,0.3256493036949951,0.390913128665052
2016-06-28,-1.595239345262031,0.08449094243261907,0.3223169247346709,0.39594821324908896
2016-07-28,-1.655448924462951,0.08347850391331374,0.3162527936254513,0.3960785964005399
2016-08-26,-1.6540688655057791,0.08687427917013962,0.31928421154979936,0.39045667686416635
2016-09-27,-1.6639903541443362,0.08668161195134416,0.31855287020939177,0.39036732832118015
2016-10-26,-1.672002133512249,0.08661416916413245,0.31808087413812347,0.39007930659710954
2016-11-25,-1.6642772646775377,0.0861355349305794,0.3188665184014091,0.3907351275052787
2016-12-27,-1.636092132750933,0.08605028947707682,0.31919146946466753,0.3938046494768139
2017-01-27,-1.6123435251822886,0.08572063506668026,0.3200587393399021,0.3958843514937105
2017-02-28,-1.5866375104413588,0.08569771575509039,0.3165218931889692,0.4022519152003425
2017-03-29,-1.5572225677294345,0.08559090705713673,0.3175684167656241,0.4045489409856242
2017-04-28,-1.5650670506640891,0.0847834617797128,0.3177785589518666,0.40430036287393817
2017-05-30,-1.545028726073012,0.08421256199026017,0.31640078970347835,0.4085403695884821
2017-06-28,-1.516026988003293,0.08441546605259748,0.3211166667436267,0.4068234452728595
2017-07-28,-1.5209613773480144,0.08449625454737181,0.31906026878375765,0.4082851913412593
2017-08-28,-1.4897478566560314,0.08464089405289854,0.31639912609481013,0.4142710929190178
2017-09-27,-1.480650165384293,0.08404699884100275,0.3146594677021605,0.4176085128218281
2017-10-26,-1.4203542445831971,0.084120840062756,0.31962985775290104,0.4191802221912599
2017-11-27,-1.447346137399526,0.08361058547930583,0.31883267144197325,0.4176408462956091
2017-12-27,-1.4710406530292437,0.08225464918839293,0.3192120132298804,0.41606181659486713
2018-01-29,-1.4517768388249284,0.08321254068131434,0.3098014401910761,0.4266698910840847
2018-02-28,-1.5685093241954067,0.08408221986182052,0.31485828485462897,0.4080871827638011
2018-03-29,-1.5945198416569715,0.08557606631588749,0.32038232105187814,0.39823582391740253
2018-04-30,-1.580614632684688,0.08555365117209773,0.31574718557095427,0.404035026375136
2018-05-30,-1.6170488686051439,0.08612398559650097,0.31539559970345893,0.4005117533549836
