name,window,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,ann_turnover,avg_weight,max_weight,time_invested
strategy,full (not a headline),4711,18.69,0.04935680784169105,0.1366685651963664,0.316844514415557,0.23572553172168104,1.4107153435673236,0.3088728015487897,-0.26767483692461536,0.1843909140237612,-1.8622893409544568,15.689441427715657,-0.013871965560097621,-0.02367821365081466,-0.0279199917668032,-0.04159729336364632,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6346847803014222,1998,12.846243967455264,0.19615514449496324,0.7350640883983592,0.7355126300148589
buy-and-hold -1x (XIV fee),full (not a headline),4711,18.69,0.01669549726056463,0.7334632489394767,0.5194128075143842,0.24407195000408585,2.394432717354938,0.5338881778160208,-0.9916325790291051,0.016836374291888414,-3.0785257608214907,46.20479857850844,-0.07388596623391014,-0.12196792524174087,-0.14028335354524069,-0.21278476380406533,-0.9610152067609331,-0.9657413680074987,0.2595645492687735,0.5873487582254299,2184,,,,
buy-and-hold -0.5x (SVXY fee),full (not a headline),4711,18.69,0.1391848764557584,0.366734153195284,0.5119012725756661,0.2438725573285055,2.3598223449845963,0.5261590447627701,-0.7095665586804891,0.19615478597890346,-3.0783061185669793,46.193316090194685,-0.036902330992093446,-0.06097019575981639,-0.07014287865850033,-0.10637778888573979,-0.4804692565409576,-0.5114482246346277,0.1297954743319354,0.5881978348545956,1384,,,,
Cboe PutWrite (PUT),full (not a headline),4704,18.67,0.07183262121053002,0.13964610289578178,0.4644024683306414,0.2346943466519689,2.384045006823067,0.4450552877579198,-0.37094048636469634,0.19364998928670887,-0.7005223148905289,34.872237333826256,-0.0115614856427937,-0.02278323795832435,-0.028980304636520758,-0.04506984434453428,-0.11463854368288084,-0.18264204683378382,0.1158498779763868,0.6464710884353742,621,,,,
"S&P 500 (SPY, total return)",full (not a headline),4708,18.68,0.11253155650891089,0.19737401402917168,0.5665330907686711,0.2319120252423408,2.845962014918135,0.6944227229971598,-0.5187373434874873,0.21693359447067706,0.011351105453443722,14.809731358878153,-0.018055716971109387,-0.030269936577615484,-0.03624903319693724,-0.052973698754250474,-0.10942370944865865,-0.1979332761593161,0.14519775789442702,0.5501274426508072,835,,,,
constant weight 0.196 short,full (not a headline),4711,18.69,0.06642486898641042,0.14383470307038462,0.420974819285592,0.24149507931035868,1.9386502433211585,0.43303695244927853,-0.33424451657028886,0.19873136489418464,-3.0809227257525933,46.191595542180615,-0.014464746014193508,-0.02393400726486771,-0.027526842330873578,-0.041746649022893746,-0.18847861379002284,-0.20749507188853744,0.050271409605957114,0.5875610273827213,1266,,,,
