period,model,n,first,last,rmse_ann_var,mae_ann_var,bias_ann_var,qlike,n_nonpositive_forecasts,oos_r2_vs_eval_mean,mz_alpha_ann_var,mz_beta,mz_beta_se,mz_t_beta_eq_1,mz_r2,hac_lags,oos_r2_vs_expanding_mean,dm_mse_t_vs_trailing,dm_mse_p,dm_qlike_t_vs_trailing,dm_qlike_p
full,HAR log (primary),4671,2008-01-25,2026-08-19,0.07540848807194997,0.023854116047905983,-0.004867702548478392,0.36518484827590086,0,0.2849283413075381,0.008179078593966823,0.9083640367471664,0.14809994845814375,-0.6187440590415326,0.2908680471649584,20,0.30283924770872084,-1.142269134890256,0.2534007274534863,-4.079146735153692,4.5954654019745066e-05
full,HAR level,4671,2008-01-25,2026-08-19,0.08677653610072861,0.02865533600297017,0.002993950184823814,0.35135888514307817,0,0.05307906297378928,0.017710781618923442,0.5294150125049922,0.09042413512067352,-5.2041967210081586,0.25825151761143905,20,0.07679726249439278,0.03528262097515032,0.9718558890893866,-2.881066603468952,0.0039813772087485535
full,"HAR log, smearing (not adopted)",4671,2008-01-25,2026-08-19,0.07579714201026108,0.025039164776213634,-0.0024551664661490286,0.3575795344450925,0,0.2775384145531198,0.007880640463293398,0.8592567823619217,0.13835182412634253,-1.0172848715717109,0.2859687533350729,20,0.2956344216848391,-1.12449479095804,0.26086097351973403,-3.948338272614159,7.985394234374981e-05
full,trailing 21-day RV,4671,2008-01-25,2026-08-19,0.08646650369162252,0.02856880013970142,0.0003531696762025533,0.4632869999352203,0,0.0598332330007445,0.019088610164404253,0.5299044160455884,0.11980689711399864,-3.923777305634636,0.2809868894989773,20,0.08338225603994243,,,,
full,random walk (today's RV),4671,2008-01-25,2026-08-19,0.1222814612618278,0.03426667431558375,0.0001189196542277375,1.325148540056945,0,-0.8803138222612654,0.027802988454866173,0.3210119700747385,0.05307252486266275,-12.793588239532559,0.2534107964997784,20,-0.8332162699167165,1.8148061523720471,0.0696178312586616,8.875446170436682,9.754840674971485e-19
full,expanding mean,4671,2008-01-25,2026-08-19,0.09031372775209394,0.03872738139905519,-0.00035511556152212614,0.7881197764205089,0,-0.025691214461394996,0.10218407245981391,-1.5050917728528446,1.2081626638787657,-2.0734722630894185,0.014503679514851764,20,0.0,0.35429021305048664,0.7231373973899587,2.242082192781466,0.025002816904293165
2008-2012,HAR log (primary),1243,2008-01-25,2012-12-31,0.10125636747208763,0.038995783805512836,-0.010539747735678598,0.33816796583359193,0,0.3219329313298894,0.019221319323043093,0.8606411329565105,0.17809377051708053,-0.7825027604215049,0.3381455859041317,20,0.39150718618247815,0.1145066690977516,0.9088546678188534,-0.6090275416650034,0.5426175623073932
2008-2012,HAR level,1243,2008-01-25,2012-12-31,0.12689679055713726,0.0472171255135212,0.0018647548629613852,0.31451404681689865,0,-0.06495006072988874,0.03740370734736856,0.4743249276849373,0.10346752336862654,-5.080580410166251,0.28356285717814245,20,0.04432099865929451,1.70445156310226,0.08854686343963768,-0.93535437055905,0.3497875261597251
2008-2012,"HAR log, smearing (not adopted)",1243,2008-01-25,2012-12-31,0.10182700219435874,0.04028102692530437,-0.007815765968221703,0.33256546032342793,0,0.31426884264633925,0.019291799783075624,0.8235012866274696,0.1691525854729432,-1.0434290015671221,0.333634634957349,20,0.38462948469264313,0.17278113960944974,0.8628516140693251,-0.7080181736362555,0.4790668172114548
2008-2012,trailing 21-day RV,1243,2008-01-25,2012-12-31,0.1000064169159881,0.04247713837143767,0.0011677180266729337,0.3665686780469836,0,0.3385702860855885,0.023264550448115456,0.6698519645682052,0.12666886433290622,-2.606386637872686,0.44732338311305364,20,0.4064374361201889,,,,
