symbol,pre_window,n,leverage_before,leverage_after,break_date,slope_pre,theory_pre,step,step_se,theory_step,t_step_vs_zero,t_step_vs_theory,slope_post,theory_post
SVXY,full,178,-1.0,-0.5,2018-02-28,-2.8458191170317826,-1.0,2.4432595473918255,0.407525398349621,0.625,5.995355276717559,4.461708533395306,-0.4025595696399571,-0.375
SVXY,ex_feb2018,177,-1.0,-0.5,2018-02-28,-1.087347174484222,-1.0,0.6847876048442683,0.050969355687430926,0.625,13.435280780155855,1.17301080301888,-0.40255956963995376,-0.375
UVXY,full,178,2.0,1.5,2018-02-28,-0.7320970331407158,-1.0,0.3476948345827582,0.0707336734895836,0.625,4.915548951857569,-3.9204123260766086,-0.38440219855795765,-0.375
UVXY,ex_feb2018,177,2.0,1.5,2018-02-28,-0.9461597122907526,-1.0,0.561757513732797,0.08062577065124195,0.625,6.967468455746708,-0.7843954328296245,-0.38440219855795554,-0.375
