sample,dropped,dropped_return,design,p_daily_with,p_daily_without,change_pct,rp_years_with,rp_years_without,xi_with,xi_without,kelly_with,kelly_without
pre2018,2016-06-24,0.32708614968661665,-1x,5.0266894932949723e-05,3.7623635864623144e-05,-25.152257932763177,78.94368596960612,105.4723680223912,0.18134850471559702,0.17269832105969857,1.1142183569299362,1.2219675527316771
pre2018,2016-06-24,0.32708614968661665,-0.5x,5.793034466666461e-06,3.881725327760431e-06,-32.99322919454115,685.0043774273377,1022.2912836914867,0.18134850471559702,0.17269832105969857,1.1142183569299362,1.2219675527316771
full,2018-02-05,0.9610261470152933,-1x,0.00015463947295410452,8.970326947537854e-05,-41.99199741064715,25.661326260674123,44.237562259011774,0.16887084190908175,0.15066540370513198,0.6228796889706633,0.8553594359644882
full,2018-02-05,0.9610261470152933,-0.5x,2.66665258819467e-05,1.07910676046111e-05,-59.533282841629266,148.81030944268917,367.735066969491,0.16887084190908175,0.15066540370513198,0.6228796889706633,0.8553594359644882
