convention,symbol,n,beta_w1_bp,t_stat,p_value,resid_sd_bp
sp_dji,VIXY,3949,-2.1735792653842836,-0.6145472939524537,0.5388891537306496,150.55356079690128
sp_dji,VXX,2173,-4.433313278347033,-0.5455475745638734,0.5854330151418136,186.28735774140793
sp_dji,SVXY,3760,6.295059285700071,1.197660467825311,0.23112475923918288,228.11419479528269
sp_dji,UVXY,3760,-3.3926329125021017,-0.47513744369193556,0.6347166240258061,292.2126184296966
sp_dji,SVIX,1121,2.7540762913320824,0.9147932265535557,0.36049726836322715,51.28634390760666
shifted,VIXY,3949,-2.842530181185974,-0.7830241658852305,0.43365989926753107,153.15890073186534
shifted,VXX,2173,-6.11252866109425,-0.742020320162331,0.4581552906439885,189.0496167794029
shifted,SVXY,3760,6.292161840174258,1.20740140653355,0.22735357993714533,229.90264260108654
shifted,UVXY,3760,-3.9621152311074193,-0.5389735394554221,0.589937038935163,297.40182338719137
shifted,SVIX,1121,4.452477171031785,1.496216790569925,0.13487914673852666,54.21288284608978
