name,window,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,ann_turnover,avg_weight,max_weight,time_invested
strategy,design,2016,8.0,0.060671220732824604,0.1505149618995078,0.45084349420740566,0.3585296185911031,1.2923714590688675,0.4916436198297366,-0.24759714504281505,0.2450400658793267,-0.950747928832622,4.83506372797308,-0.01629963820744217,-0.02527607594253146,-0.03057310080395959,-0.03932394228376151,-0.0674511034416487,-0.08405653468743968,0.03742084148734857,0.6165674603174603,425,14.843026012746606,0.22750478826414955,0.7350640883983592,0.7475198412698413
buy-and-hold -1x (XIV fee),design,2016,8.0,0.1587034887749006,0.6725565590274413,0.5606581948131246,0.35893495658964675,1.6553006966762318,0.6826071246516694,-0.8323351614246763,0.19067257534002754,-0.8250533926162856,2.943480475875006,-0.07498575342427413,-0.10927000972878323,-0.1282169190786265,-0.16368926109405305,-0.25453368090224016,-0.4504206062379623,0.1883754814488645,0.5749007936507936,620,,,,
buy-and-hold -0.5x (SVXY fee),design,2016,8.0,0.139962533025499,0.3362734549534391,0.55247938426218,0.3588539182298596,1.6311653315883223,0.6726346929869986,-0.5721534765178241,0.2446241065899366,-0.8253536000542913,2.9442697896521395,-0.03749926500157616,-0.05464251676971101,-0.06413173632373795,-0.08185504902539129,-0.1272881931418851,-0.2473569775990051,0.09416555465681298,0.5753968253968254,478,,,,
Cboe PutWrite (PUT),design,2013,7.99,0.05505084047445341,0.1566362935555821,0.40494987122510456,0.355182862825122,1.3333226035437158,0.4104039226353556,-0.37094048636469634,0.14840882162517374,-0.1345270197231851,24.21536454029262,-0.013743079587958174,-0.02578248732760865,-0.034249060011155553,-0.048507343317998185,-0.09371227785015124,-0.17675742009752293,0.1158498779763868,0.6249379036264282,621,,,,
"S&P 500 (SPY, total return)",design,2015,8.0,0.06466246994289349,0.2213876547344073,0.38251208886115623,0.3529996462163843,1.2809473455533624,0.476369500470817,-0.5187373434874873,0.12465358577843207,0.2455616139105287,13.622756248234175,-0.020791754976799335,-0.03407074856333168,-0.0438782453405633,-0.057908356050953624,-0.0984478733356744,-0.1979332761593161,0.14519775789442702,0.5468982630272953,835,,,,
constant weight 0.228 short,design,2016,8.0,0.06281467126766116,0.1529700630970203,0.4591802116915369,0.3579324763352715,1.3550190995408908,0.5590553440917525,-0.3147855031957765,0.19954753516268012,-0.826755044895232,2.943073830059424,-0.017129227039722427,-0.02491092875453473,-0.02915476571736444,-0.03728871364931304,-0.058011892001403276,-0.11877132720123662,0.042686201111886014,0.5729166666666666,463,,,,
