name,window,n,years,cagr,ann_vol,sharpe,sharpe_se_lo,mean_t_hac,sortino,max_drawdown,calmar,skew,excess_kurtosis,var_95,cvar_95,var_99,cvar_99,worst_day,worst_week,best_day,hit_rate,longest_drawdown_days,ann_turnover,avg_weight,max_weight,time_invested
strategy,oos,2695,10.69,0.05013766214714965,0.12614247754084165,0.26799949822667746,0.3138217888817447,0.917522688647245,0.23691832376378674,-0.2626280745035502,0.19090747339912395,-3.0214403464987374,30.825905052498953,-0.011924656783045403,-0.02207203651632785,-0.02522663854960075,-0.04345049148173627,-0.11672792274336695,-0.1354849927719397,0.047489562078691934,0.6515769944341373,1477,11.260288892758625,0.1727123028182613,0.6114597031749016,0.7261595547309833
buy-and-hold -1x (XIV fee),oos,2695,10.69,-0.07803283895209234,0.7760276500443536,0.494677143664421,0.3272085266605196,1.7449427142985499,0.46919539899432894,-0.9916325790291051,-0.07869128203562382,-4.144876533143046,63.21983946743828,-0.07309972593598137,-0.13144622498638292,-0.1527627440499795,-0.2477506101112019,-0.9610152067609331,-0.9657413680074987,0.2595645492687735,0.5966604823747681,2184,,,,
buy-and-hold -0.5x (SVXY fee),oos,2695,10.69,0.13860349581333442,0.38802026795158123,0.4875695073651535,0.326879974832189,1.7198836880567323,0.46244794902116537,-0.7095665586804891,0.19533543980860887,-4.1448504603201615,63.21151625466335,-0.03655349082083936,-0.06569336003270969,-0.07640115385795154,-0.12384497809375503,-0.4804692565409576,-0.5114482246346277,0.1297954743319354,0.597773654916512,1384,,,,
Cboe PutWrite (PUT),oos,2691,10.68,0.084560508897219,0.1254680711043452,0.5253754403597116,0.3154851687522464,2.0761477778827135,0.479659874578319,-0.28925644405244433,0.29233751100766336,-1.4850540061553634,49.31397456646923,-0.01032934289008508,-0.020215572217146822,-0.02521039501396347,-0.04134513255385315,-0.11463854368288084,-0.18264204683378382,0.09452155146811325,0.662578966926793,299,,,,
"S&P 500 (SPY, total return)",oos,2693,10.69,0.14975139045749897,0.1773125802923543,0.7451265052729661,0.3094897489046693,2.752380171194831,0.9057815029607302,-0.33717252250853613,0.4441387730630029,-0.312718609128517,14.680498732611635,-0.016626078427228963,-0.027030041717793565,-0.032048012450101,-0.046989926295466306,-0.10942370944865865,-0.17969312550122352,0.10501934487618847,0.5525436316375789,488,,,,
constant weight 0.173 short,oos,2695,10.69,0.06963079674226647,0.13399657127946557,0.3978709644011616,0.32279211323273854,1.4017181126369573,0.3778492815998435,-0.29379988507806265,0.23700076235144052,-4.14907769522122,63.22817041882627,-0.012599015003870735,-0.022677945741519174,-0.02641122543247477,-0.042766157833087036,-0.16593748799780908,-0.1831160670314783,0.04429426747784171,0.5985157699443414,1257,,,,
