window,n,alpha_annual,alpha_t,alpha_p,beta_PUT,beta_SPX,beta_VXX_like,t_PUT,t_SPX,t_VXX_like,r2,hac_lags,beta_spx_up,beta_spx_down,asymmetry_p
full (not a headline),4704,-0.0031034974195094066,-0.13145413286904759,0.8954216947352394,-0.3436893965604304,0.1503430717346168,-0.14133363698771714,-6.720931435659114,2.0354226251647978,-5.82246336998932,0.48873455618713435,9,0.21612384164320403,0.39595443967156885,0.00045383187696373327
design,2013,0.004398360498447852,0.11796299085873699,0.9061087744051636,-0.3100565232708179,0.04120212072529461,-0.20409906553510176,-4.156980920037788,0.7223864241973609,-15.178573902323258,0.5826399097499211,7,0.23318253485020368,0.37464476188275364,0.01319834249386079
oos,2691,-0.01434010042444778,-0.5155636338061164,0.6062016298572183,-0.381198273961576,0.19168424601769773,-0.11538049096552237,-6.898692457040338,1.9905436982211064,-3.9347603853629947,0.45449890201651333,8,0.19179770317896946,0.42443750285001036,0.01354733137928646
