sample,start,end,n,loglik,loglik_seed1,max_param_diff_between_seeds,persistence,uncond_vol_annual,lb_z2_10_p,lb_z2_20_p,ks_pit_p,nu,lambda,mu,se_mu,omega,se_omega,alpha,se_alpha,gamma,se_gamma,beta,se_beta
pre2018,2008-01-03,2017-12-29,2518,4827.6864092575815,4827.686409258516,6.311260604130453e-07,0.9380224767933307,0.6660898880472114,0.8124313097134114,0.33783697443825267,0.42570522537291056,5.748561033550652,0.20136052764660226,-0.003153814549776663,0.0006577012212626029,0.00010911874368076134,2.024055029856336e-05,0.2791364131873478,0.03897631502677209,-0.24518575998294342,0.03805705294802079,0.7814789435974546,0.02868183158586929
full,2008-01-03,2026-09-18,4710,8988.955320310095,8988.9553203102,5.338108908792272e-07,0.9255036084875564,0.6827306154576931,0.7396286665077793,0.5531030576510376,0.8143068343659496,5.228405689278531,0.27968925174966247,-0.002371279599455886,0.000486266144485042,0.00013779499784697028,1.7157241334754032e-05,0.3094733335665329,0.03278044879294649,-0.3062275578397291,0.03196035688328091,0.769144053840888,0.022425751918399572
