date,realised_vol,move_quantile,floor,w_vol_target,w_stress_budget,stress_move,weight,binding,stress_source
2008-01-02,,,,,,,,signal_off,undefined
2008-01-03,,0.19391537176687176,-0.0084798345398138,,1.031377750911069,0.19391537176687176,,signal_off,model
2008-01-04,,0.2128430882751786,0.041335306084705,,0.9396593594875201,0.2128430882751786,,signal_off,model
2008-01-07,,0.1966000012037423,0.041335306084705,,1.0172939917367254,0.1966000012037423,,signal_off,model
2008-01-08,,0.22578408353728244,0.048820179007323,,0.8858020320417102,0.22578408353728244,,signal_off,model
2008-01-09,,0.2067613583710121,0.048820179007323,,0.9672987330694572,0.2067613583710121,,signal_off,model
2008-01-10,,0.1931863133611047,0.048820179007323,,1.0352700277796552,0.1931863133611047,,signal_off,model
2008-01-11,,0.2194833054547371,0.048820179007323,,0.9112310368464219,0.2194833054547371,,signal_off,model
2008-01-14,,0.20596729921604268,0.048820179007323,,0.9710279290025381,0.20596729921604268,,signal_off,model
2008-01-15,,0.19146688765047523,0.048820179007323,,1.0445670395243591,0.19146688765047523,,signal_off,model
2008-01-16,0.5243783391330623,0.17779440962519322,0.048820179007323,0.28605300563709424,1.1248947614360778,0.17779440962519322,,signal_off,model
2008-01-17,0.6180794010975885,0.26774040306299407,0.0785166054345058,0.24268726596231688,0.746992227216988,0.26774040306299407,,signal_off,model
2008-01-18,0.5893213336278371,0.2444325457336976,0.0785166054345058,0.2545300694896049,0.818221646383761,0.2444325457336976,,signal_off,model
2008-01-22,0.5646658735537909,0.22680069925149973,0.0785166054345058,0.2656438205765073,0.8818314963756775,0.22680069925149973,,signal_off,model
2008-01-23,0.5922887811529248,0.21304907270579604,0.0785166054345058,0.25325483914791735,0.9387508589449917,0.21304907270579604,,signal_off,model
2008-01-24,0.5709846264793789,0.19609499851399873,0.0785166054345058,0.26270409577378917,1.0199138250113122,0.19609499851399873,,signal_off,model
2008-01-25,0.5527020296411184,0.18647389045326096,0.0785166054345058,0.2713939735256596,1.0725362114441932,0.18647389045326096,0.0,signal_off,model
2008-01-28,0.5443889880834254,0.1744485406162424,0.0785166054345058,0.2755382700302033,1.1464698947523244,0.1744485406162424,0.0,signal_off,model
2008-01-29,0.5282973354745643,0.1635766752513762,0.0785166054345058,0.28393101749274674,1.2226682055534526,0.1635766752513762,0.0,signal_off,model
2008-01-30,0.5134395601282385,0.15485286486246494,0.0785166054345058,0.292147336606738,1.2915485947104255,0.15485286486246494,0.0,signal_off,model
2008-01-31,0.5041292656052898,0.1476169805193468,0.0785166054345058,0.297542734044413,1.3548576816593796,0.1476169805193468,0.0,signal_off,model
2008-02-01,0.5016146311081865,0.14321583317547776,0.0785166054345058,0.29903433970539134,1.3964936387651108,0.14321583317547776,0.0,signal_off,model
2008-02-04,0.5137054882693177,0.16795304729788774,0.0785166054345058,0.29199610170674345,1.1908089982152728,0.16795304729788774,0.0,signal_off,model
2008-02-05,0.5301913660165491,0.21890698436333114,0.0785166054345058,0.28291671576431887,0.9136300542519454,0.21890698436333114,0.0,signal_off,model
2008-02-06,0.5275422919154902,0.21514220675257856,0.0785166054345058,0.2843373930369725,0.9296176841302337,0.21514220675257856,0.0,signal_off,model
2008-02-07,0.5091034585481835,0.1980420340168387,0.0785166054345058,0.2946355941634276,1.0098866182266883,0.1980420340168387,0.0,signal_off,model
2008-02-08,0.5088079296953247,0.19076014331240693,0.0785166054345058,0.294806726164469,1.0484370399767473,0.19076014331240693,0.0,signal_off,model
2008-02-11,0.5008276729671794,0.17828856934027595,0.0785166054345058,0.299504216912211,1.12177690774043,0.17828856934027595,0.0,signal_off,model
2008-02-12,0.48138978414700007,0.16693195072840136,0.0785166054345058,0.31159780481381194,1.1980929901514206,0.16693195072840136,0.0,signal_off,model
2008-02-13,0.4727091010113436,0.16071084209558362,0.0785166054345058,0.3173198901376778,1.2444711096781444,0.16071084209558362,0.0,signal_off,model
2008-02-14,0.4741298769880645,0.15778267058796233,0.0785166054345058,0.3163690104341938,1.2675663255965866,0.15778267058796233,0.0,signal_off,model
2008-02-15,0.47398386260029257,0.14966094923315262,0.0785166054345058,0.31646647035005493,1.3363539455334175,0.14966094923315262,0.0,signal_off,model
2008-02-19,0.3889193339322271,0.14312854095420974,0.0785166054345058,0.38568409156573047,1.3973453419327793,0.14312854095420974,0.0,signal_off,model
2008-02-20,0.38738259559615007,0.13746152972781922,0.0785166054345058,0.38721409197323975,1.4549525266888135,0.13746152972781922,0.0,signal_off,model
2008-02-21,0.3831382746284302,0.13284021990560566,0.0785166054345058,0.39150356394299396,1.5055681189184806,0.13284021990560566,0.0,signal_off,model
2008-02-22,0.3558604347460121,0.13052054669508267,0.0785166054345058,0.42151356361675707,1.5323257913348516,0.13052054669508267,0.0,signal_off,model
2008-02-25,0.3661126104594396,0.12946252012031176,0.0785166054345058,0.4097100064697662,1.5448486543760815,0.12946252012031176,0.4097100064697662,vol_target,model
2008-02-26,0.3637690723153988,0.12699155288523192,0.0785166054345058,0.4123495135120928,1.5749079010062124,0.12699155288523192,0.4123495135120928,vol_target,model
2008-02-27,0.36122428615599245,0.1272779454834001,0.0785166054345058,0.41525447138740673,1.5713641451423688,0.1272779454834001,0.41525447138740673,vol_target,model
2008-02-28,0.3770021738951257,0.1467265860207694,0.0785166054345058,0.39787568981426336,1.3630794897094496,0.1467265860207694,0.39787568981426336,vol_target,model
2008-02-29,0.42862119085457706,0.2070243570193408,0.0785166054345058,0.34995936552024587,0.9660699005639971,0.2070243570193408,0.0,signal_off,model
2008-03-03,0.4246959935004334,0.19082170238143598,0.0785166054345058,0.35319381933337435,1.0480988142544574,0.19082170238143598,0.0,signal_off,model
2008-03-04,0.4181937093073603,0.17775227344207367,0.0785166054345058,0.35868545284538067,1.1251614177816773,0.17775227344207367,0.0,signal_off,model
2008-03-05,0.4098301555631561,0.16776461594266986,0.0785166054345058,0.3660052779519894,1.1921465016696127,0.16776461594266986,0.0,signal_off,model
2008-03-06,0.4343546264477699,0.2433821539292273,0.0785166054345058,0.3453399385353091,0.8217529378023242,0.2433821539292273,0.0,signal_off,model
2008-03-07,0.4233692753811192,0.22158596392324448,0.0785166054345058,0.3543006276612048,0.9025842452244779,0.22158596392324448,0.0,signal_off,model
2008-03-10,0.4322986395469194,0.21903033881738018,0.0785166054345058,0.3469823549692661,0.9131155121243409,0.21903033881738018,0.0,signal_off,model
2008-03-11,0.4696551040258025,0.20929092488769574,0.0785166054345058,0.3193833064183182,0.9556076074837876,0.20929092488769574,0.0,signal_off,model
2008-03-12,0.4764960523965679,0.21016072344681488,0.0785166054345058,0.314797990970891,0.9516526053005036,0.21016072344681488,0.0,signal_off,model
2008-03-13,0.47434390406578164,0.19406860141359653,0.0785166054345058,0.3162262626636351,1.030563411820352,0.19406860141359653,0.0,signal_off,model
2008-03-14,0.49807030972138727,0.24200293891043445,0.0785166054345058,0.30116229992489946,0.8264362445367667,0.24200293891043445,0.0,signal_off,model
2008-03-17,0.4970175513982463,0.22150695933046552,0.0785166054345058,0.3018002072120169,0.9029061687475952,0.22150695933046552,0.0,signal_off,model
2008-03-18,0.5860470031949729,0.2233663470531791,0.0785166054345058,0.2559521662635245,0.895390029154141,0.2233663470531791,0.0,signal_off,model
2008-03-19,0.6040162849203408,0.2416125311095174,0.0785166054345058,0.24833767523301525,0.8277716353600245,0.2416125311095174,0.0,signal_off,model
2008-03-20,0.606583083560386,0.22042927042516705,0.0785166054345058,0.24728681703347785,0.907320518796062,0.22042927042516705,0.0,signal_off,model
2008-03-24,0.613386193103382,0.20326279089383123,0.0785166054345058,0.2445441414993156,0.9839479184582511,0.20326279089383123,0.0,signal_off,model
2008-03-25,0.6070693693715029,0.1876936570315866,0.0785166054345058,0.24708873082378469,1.0655661100275882,0.1876936570315866,0.0,signal_off,model
2008-03-26,0.6003492891108153,0.18629733384185418,0.0785166054345058,0.2498545475454245,1.0735526691422104,0.18629733384185418,0.0,signal_off,model
2008-03-27,0.5970626501851487,0.17335258626399083,0.0785166054345058,0.25122991691656665,1.1537180050802878,0.17335258626399083,0.0,signal_off,model
