date,weight,accrual,gross,costs,ret,equity,turnover,realised_vol,move_quantile,floor,stress_move,w_vol_target,w_stress_budget,binding,stress_source,index_ret,signal,turnover_rebalance,turnover_roll,cost_rebalance,cost_roll
2008-01-02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,signal_off,undefined,,,0.0,0.0,0.0,0.0
2008-01-03,0.0,8.869420691204333e-05,8.869420691204333e-05,0.0,8.869420691204333e-05,1.000088694206912,0.0,,0.19391537176687176,-0.0084798345398138,0.19391537176687176,,1.031377750911069,signal_off,model,-0.0084798345398138,,0.0,0.0,0.0,0.0
2008-01-04,0.0,8.81341141831804e-05,8.81341141831804e-05,0.0,8.81341141831804e-05,1.0001768361380805,0.0,,0.2128430882751786,0.041335306084705,0.2128430882751786,,0.9396593594875201,signal_off,model,0.041335306084705,,0.0,0.0,0.0,0.0
2008-01-07,0.0,0.00026106476085385744,0.00026106476085385744,0.0,0.00026106476085385744,1.0004379470646185,0.0,,0.1966000012037423,0.041335306084705,0.1966000012037423,,1.0172939917367254,signal_off,model,-0.0206402695871945,,0.0,0.0,0.0,0.0
2008-01-08,0.0,8.897426409859577e-05,8.897426409859577e-05,0.0,8.897426409859577e-05,1.0005269602947349,0.0,,0.22578408353728244,0.048820179007323,0.22578408353728244,,0.8858020320417102,signal_off,model,0.048820179007323,,0.0,0.0,0.0,0.0
2008-01-09,0.0,8.841415694038623e-05,8.841415694038623e-05,0.0,8.841415694038623e-05,1.0006154210424254,0.0,,0.2067613583710121,0.048820179007323,0.2067613583710121,,0.9672987330694572,signal_off,model,-0.0103574504737294,,0.0,0.0,0.0,0.0
2008-01-10,0.0,8.757405031123433e-05,8.757405031123433e-05,0.0,8.757405031123433e-05,1.00070304898765,0.0,,0.1931863133611047,0.048820179007323,0.1931863133611047,,1.0352700277796552,signal_off,model,-0.0323575399583042,,0.0,0.0,0.0,0.0
2008-01-11,0.0,8.81341141831804e-05,8.81341141831804e-05,0.0,8.81341141831804e-05,1.000791245064433,0.0,,0.2194833054547371,0.048820179007323,0.2194833054547371,,0.9112310368464219,signal_off,model,0.046297540653138,,0.0,0.0,0.0,0.0
2008-01-14,0.0,0.0002526640954414461,0.0002526640954414461,0.0,0.0002526640954414461,1.001044109079093,0.0,,0.20596729921604268,0.048820179007323,0.20596729921604268,,0.9710279290025381,signal_off,model,-0.0427058421592073,,0.0,0.0,0.0,0.0
2008-01-15,0.0,8.673400860281788e-05,8.673400860281788e-05,0.0,8.673400860281788e-05,1.0011309336474616,0.0,,0.19146688765047523,0.048820179007323,0.19146688765047523,,1.0445670395243591,signal_off,model,0.0067990934542059,,0.0,0.0,0.0,0.0
2008-01-16,0.0,8.617401685961923e-05,8.617401685961923e-05,0.0,8.617401685961923e-05,1.0012172051214165,0.0,0.5243783391330623,0.17779440962519322,0.048820179007323,0.17779440962519322,0.28605300563709424,1.1248947614360778,signal_off,model,-0.009904912836767,,0.0,0.0,0.0,0.0
2008-01-17,0.0,8.533408333089021e-05,8.533408333089021e-05,0.0,8.533408333089021e-05,1.0013026430738308,0.0,0.6180794010975885,0.26774040306299407,0.0785166054345058,0.26774040306299407,0.24268726596231688,0.746992227216988,signal_off,model,0.0785166054345058,,0.0,0.0,0.0,0.0
2008-01-18,0.0,8.365441094659865e-05,8.365441094659865e-05,0.0,8.365441094659865e-05,1.0013864064566165,0.0,0.5893213336278371,0.2444325457336976,0.0785166054345058,0.2444325457336976,0.2545300694896049,0.818221646383761,signal_off,model,0.0094154967602591,,0.0,0.0,0.0,0.0
2008-01-22,0.0,0.00031114670050347293,0.00031114670050347293,0.0,0.00031114670050347293,1.0016979845329146,0.0,0.5646658735537909,0.22680069925149973,0.0785166054345058,0.22680069925149973,0.2656438205765073,0.8818314963756775,signal_off,model,0.0139202596663823,,0.0,0.0,0.0,0.0
2008-01-23,0.0,6.407738620350933e-05,6.407738620350933e-05,0.0,6.407738620350933e-05,1.0017621707215287,0.0,0.5922887811529248,0.21304907270579604,0.0785166054345058,0.21304907270579604,0.25325483914791735,0.9387508589449917,signal_off,model,-0.0467370092283266,,0.0,0.0,0.0,0.0
2008-01-24,0.0,6.016620859794486e-05,6.016620859794486e-05,0.0,6.016620859794486e-05,1.0018224429532578,0.0,0.5709846264793789,0.19609499851399873,0.0785166054345058,0.19609499851399873,0.26270409577378917,1.0199138250113122,signal_off,model,0.0012341387102381,,0.0,0.0,0.0,0.0
2008-01-25,0.0,6.46362407579204e-05,6.46362407579204e-05,0.0,6.46362407579204e-05,1.0018871969898773,0.0,0.5527020296411184,0.18647389045326096,0.0785166054345058,0.18647389045326096,0.2713939735256596,1.0725362114441932,signal_off,model,0.0137062547832742,0.0,0.0,0.0,0.0,0.0
2008-01-28,0.0,0.00018805291324941464,0.00018805291324941464,0.0,0.00018805291324941464,1.0020756047960184,0.0,0.5443889880834254,0.1744485406162424,0.0785166054345058,0.1744485406162424,0.2755382700302033,1.1464698947523244,signal_off,model,-0.0203832602904528,0.0,0.0,0.0,0.0,0.0
2008-01-29,0.0,6.37979697002411e-05,6.37979697002411e-05,0.0,6.37979697002411e-05,1.0021395351850906,0.0,0.5282973354745643,0.1635766752513762,0.0785166054345058,0.1635766752513762,0.28393101749274674,1.2226682055534526,signal_off,model,0.0005270555165142,0.0,0.0,0.0,0.0,0.0
2008-01-30,0.0,6.21216214926612e-05,6.21216214926612e-05,0.0,6.21216214926612e-05,1.0022017897179782,0.0,0.5134395601282385,0.15485286486246494,0.0785166054345058,0.15485286486246494,0.292147336606738,1.2915485947104255,signal_off,model,0.0023922603342128,0.0,0.0,0.0,0.0,0.0
2008-01-31,0.0,6.016620859794486e-05,6.016620859794486e-05,0.0,6.016620859794486e-05,1.0022620883999156,0.0,0.5041292656052898,0.1476169805193468,0.0785166054345058,0.1476169805193468,0.297542734044413,1.3548576816593796,signal_off,model,-0.0149311410905002,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,5.346460501964856e-05,5.346460501964856e-05,0.0,5.346460501964856e-05,1.0023156739465982,0.0,0.5016146311081865,0.14321583317547776,0.0785166054345058,0.14321583317547776,0.29903433970539134,1.3964936387651108,signal_off,model,-0.0263002944062806,0.0,0.0,0.0,0.0,0.0
2008-02-04,0.0,0.00017212999024929232,0.00017212999024929232,0.0,0.00017212999024929232,1.0024882025337813,0.0,0.5137054882693177,0.16795304729788774,0.0785166054345058,0.16795304729788774,0.29199610170674345,1.1908089982152728,signal_off,model,0.0355689193648931,0.0,0.0,0.0,0.0,0.0
2008-02-05,0.0,6.184225525651676e-05,6.184225525651676e-05,0.0,6.184225525651676e-05,1.002550198665094,0.0,0.5301913660165491,0.21890698436333114,0.0785166054345058,0.21890698436333114,0.28291671576431887,0.9136300542519454,signal_off,model,0.0565031794108792,0.0,0.0,0.0,0.0,0.0
2008-02-06,0.0,5.9607583801302155e-05,5.9607583801302155e-05,0.0,5.9607583801302155e-05,1.0026099582600758,0.0,0.5275422919154902,0.21514220675257856,0.0785166054345058,0.21514220675257856,0.2843373930369725,0.9296176841302337,signal_off,model,0.026711409395973,0.0,0.0,0.0,0.0,0.0
2008-02-07,0.0,5.7094127416279505e-05,5.7094127416279505e-05,0.0,5.7094127416279505e-05,1.0026672014007816,0.0,0.5091034585481835,0.1980420340168387,0.0785166054345058,0.1980420340168387,0.2946355941634276,1.0098866182266883,signal_off,model,-0.015114586230023,0.0,0.0,0.0,0.0,0.0
2008-02-08,0.0,5.9048987711030065e-05,5.9048987711030065e-05,0.0,5.9048987711030065e-05,1.0027264078840354,0.0,0.5088079296953247,0.19076014331240693,0.0785166054345058,0.19076014331240693,0.294806726164469,1.0484370399767473,signal_off,model,0.0177823572425712,0.0,0.0,0.0,0.0,0.0
2008-02-11,0.0,0.00018218564906313794,0.00018218564906313794,0.0,0.00018218564906313794,1.0029090902454885,0.0,0.5008276729671794,0.17828856934027595,0.0785166054345058,0.17828856934027595,0.299504216912211,1.12177690774043,signal_off,model,-0.0225125069483045,0.0,0.0,0.0,0.0,0.0
2008-02-12,0.0,6.268037550505312e-05,6.268037550505312e-05,0.0,6.268037550505312e-05,1.0029719529638625,0.0,0.48138978414700007,0.16693195072840136,0.0785166054345058,0.16693195072840136,0.31159780481381194,1.1980929901514206,signal_off,model,-0.0130322623873495,0.0,0.0,0.0,0.0,0.0
2008-02-13,0.0,6.268037550505312e-05,6.268037550505312e-05,0.0,6.268037550505312e-05,1.0030348196224954,0.0,0.4727091010113436,0.16071084209558362,0.0785166054345058,0.16071084209558362,0.3173198901376778,1.2444711096781444,signal_off,model,-0.0347620826682063,0.0,0.0,0.0,0.0,0.0
2008-02-14,0.0,6.184225525651676e-05,6.184225525651676e-05,0.0,6.184225525651676e-05,1.0030968495578416,0.0,0.4741298769880645,0.15778267058796233,0.0785166054345058,0.15778267058796233,0.3163690104341938,1.2675663255965866,signal_off,model,0.0140091517071456,0.0,0.0,0.0,0.0,0.0
2008-02-15,0.0,6.295976328196673e-05,6.295976328196673e-05,0.0,6.295976328196673e-05,1.0031600042980386,0.0,0.47398386260029257,0.14966094923315262,0.0785166054345058,0.14966094923315262,0.31646647035005493,1.3363539455334175,signal_off,model,-0.0094781793563171,0.0,0.0,0.0,0.0,0.0
2008-02-19,0.0,0.0002406865550992343,0.0002406865550992343,0.0,0.0002406865550992343,1.0034014514236864,0.0,0.3889193339322271,0.14312854095420974,0.0785166054345058,0.14312854095420974,0.38568409156573047,1.3973453419327793,signal_off,model,-0.0123409178557655,0.0,0.0,0.0,0.0,0.0
2008-02-20,0.0,6.21216214926612e-05,6.21216214926612e-05,0.0,6.21216214926612e-05,1.003463784348857,0.0,0.38738259559615007,0.13746152972781922,0.0785166054345058,0.13746152972781922,0.38721409197323975,1.4549525266888135,signal_off,model,-0.0064881948317531,0.0,0.0,0.0,0.0,0.0
2008-02-21,0.0,6.12835443227766e-05,6.12835443227766e-05,0.0,6.12835443227766e-05,1.0035252801661614,0.0,0.3831382746284302,0.13284021990560566,0.0785166054345058,0.13284021990560566,0.39150356394299396,1.5055681189184806,signal_off,model,-0.0009169676441415,0.0,0.0,0.0,0.0,0.0
2008-02-22,0.0,5.988689261116065e-05,5.988689261116065e-05,0.0,5.988689261116065e-05,1.0035853781768473,0.0,0.3558604347460121,0.13052054669508267,0.0785166054345058,0.13052054669508267,0.42151356361675707,1.5323257913348516,signal_off,model,-0.0220261841883463,0.0,0.0,0.0,0.0,0.0
2008-02-25,0.0,0.0001796714373678565,0.0001796714373678565,0.0,0.0001796714373678565,1.0037656938042658,0.0,0.3661126104594396,0.12946252012031176,0.0785166054345058,0.12946252012031176,0.4097100064697662,1.5448486543760815,vol_target,model,-0.0265461301258355,1.0,0.0,0.0,0.0,0.0
2008-02-26,0.4097100064697662,5.988689261116065e-05,0.006635618871670439,0.0009409592144273983,0.005694659657243041,1.0094817978060977,0.44873000708593436,0.3637690723153988,0.12699155288523192,0.0785166054345058,0.12699155288523192,0.4123495135120928,1.5749079010062124,vol_target,model,-0.0160497226702334,1.0,0.4097100064697662,0.039020000616168185,0.0008591366740424071,8.18225403849911e-05
2008-02-27,0.4123495135120928,5.821114739368305e-05,-0.0033757701825553937,0.0001062402016788282,-0.003482010384234222,1.0059667717034415,0.05114403308818789,0.36122428615599245,0.1272779454834001,0.0785166054345058,0.1272779454834001,0.41525447138740673,1.5713641451423688,vol_target,model,0.0083278413516265,1.0,0.011872650848940958,0.039271382239246935,2.466275622962393e-05,8.157744544920428e-05
2008-02-28,0.41525447138740673,5.402291420630867e-05,-0.011734810576226863,8.371388462112519e-05,-0.011818524460847989,0.9940777288052641,0.041485412117863114,0.3770021738951257,0.1467265860207694,0.0785166054345058,0.1467265860207694,0.39787568981426336,1.3630794897094496,vol_target,model,0.0283894197479572,1.0,0.0019373672238244266,0.03954804489403869,3.9094353403844565e-06,7.980444928074073e-05
2008-02-29,0.39787568981426336,5.1789849493166784e-05,-0.022765234757605265,0.00013759516121643865,-0.022902829918821706,0.9713105356563485,0.0721313147999776,0.42862119085457706,0.2070243570193408,0.0785166054345058,0.2070243570193408,0.34995936552024587,0.9660699005639971,signal_off,model,0.0573471191912979,0.0,0.03423839196052386,0.03789292283945374,6.53119532711105e-05,7.228320794532815e-05
2008-03-03,0.0,0.00015119086981796315,0.00015119086981796315,0.0008214619230565456,-0.0006702710532385824,0.9706594943205924,0.43049298836294736,0.4246959935004334,0.19082170238143598,0.0785166054345058,0.19082170238143598,0.35319381933337435,1.0480988142544574,signal_off,model,-0.000490516677567,0.0,0.43049298836294736,0.0,0.0008214619230565456,0.0
2008-03-04,0.0,4.648815862728917e-05,4.648815862728917e-05,0.0,4.648815862728917e-05,0.9707046184931375,0.0,0.4181937093073603,0.17775227344207367,0.0785166054345058,0.17775227344207367,0.35868545284538067,1.1251614177816773,signal_off,model,-0.0171555264783921,0.0,0.0,0.0,0.0,0.0
2008-03-05,0.0,4.5372342598826165e-05,4.5372342598826165e-05,0.0,4.5372342598826165e-05,0.97074866163565,0.0,0.4098301555631561,0.16776461594266986,0.0785166054345058,0.16776461594266986,0.3660052779519894,1.1921465016696127,signal_off,model,-0.0247924716670673,0.0,0.0,0.0,0.0,0.0
2008-03-06,0.0,4.1746731339165066e-05,4.1746731339165066e-05,0.0,4.1746731339165066e-05,0.9707891872192251,0.0,0.4343546264477699,0.2433821539292273,0.0785166054345058,0.2433821539292273,0.3453399385353091,0.8217529378023242,signal_off,model,0.0694846883699791,0.0,0.0,0.0,0.0,0.0
2008-03-07,0.0,3.8122328971157415e-05,3.8122328971157415e-05,0.0,3.8122328971157415e-05,0.9708261959639819,0.0,0.4233692753811192,0.22158596392324448,0.0785166054345058,0.22158596392324448,0.3543006276612048,0.9025842452244779,signal_off,model,-0.0006372245331445,0.0,0.0,0.0,0.0,0.0
2008-03-10,0.0,0.00011855324525567035,0.00011855324525567035,0.0,0.00011855324525567035,0.9709412905600926,0.0,0.4322986395469194,0.21903033881738018,0.0785166054345058,0.21903033881738018,0.3469823549692661,0.9131155121243409,signal_off,model,0.0285182889026658,0.0,0.0,0.0,0.0,0.0
2008-03-11,0.0,3.700737132739107e-05,3.700737132739107e-05,0.0,3.700737132739107e-05,0.9709772225449694,0.0,0.4696551040258025,0.20929092488769574,0.0785166054345058,0.20929092488769574,0.3193833064183182,0.9556076074837876,signal_off,model,-0.0559689922480619,0.0,0.0,0.0,0.0,0.0
2008-03-12,0.0,4.0352587408198914e-05,4.0352587408198914e-05,0.0,4.0352587408198914e-05,0.9710164039882135,0.0,0.4764960523965679,0.21016072344681488,0.0785166054345058,0.21016072344681488,0.314797990970891,0.9516526053005036,signal_off,model,0.0294348437015274,0.0,0.0,0.0,0.0,0.0
2008-03-13,0.0,4.0352587408198914e-05,4.0352587408198914e-05,0.0,4.0352587408198914e-05,0.9710555870125303,0.0,0.47434390406578164,0.19406860141359653,0.0785166054345058,0.19406860141359653,0.3162262626636351,1.030563411820352,signal_off,model,0.0035083988943229,0.0,0.0,0.0,0.0,0.0
2008-03-14,0.0,3.700737132739107e-05,3.700737132739107e-05,0.0,3.700737132739107e-05,0.9710915232272184,0.0,0.49807030972138727,0.24200293891043445,0.0785166054345058,0.24200293891043445,0.30116229992489946,0.8264362445367667,signal_off,model,0.0597236194207655,0.0,0.0,0.0,0.0,0.0
2008-03-17,0.0,9.681335450606454e-05,9.681335450606454e-05,0.0,9.681335450606454e-05,0.9711855378551144,0.0,0.4970175513982463,0.22150695933046552,0.0785166054345058,0.22150695933046552,0.3018002072120169,0.9029061687475952,signal_off,model,0.0057672433910058,0.0,0.0,0.0,0.0,0.0
2008-03-18,0.0,3.0320026041863457e-05,3.0320026041863457e-05,0.0,3.0320026041863457e-05,0.9712149842259137,0.0,0.5860470031949729,0.2233663470531791,0.0785166054345058,0.2233663470531791,0.2559521662635245,0.895390029154141,signal_off,model,-0.0855047641219217,0.0,0.0,0.0,0.0,0.0
2008-03-19,0.0,2.5307215616221512e-05,2.5307215616221512e-05,0.0,2.5307215616221512e-05,0.9712395629729292,0.0,0.6040162849203408,0.2416125311095174,0.0785166054345058,0.2416125311095174,0.24833767523301525,0.8277716353600245,signal_off,model,0.0461832061068703,0.0,0.0,0.0,0.0,0.0
2008-03-20,0.0,1.6679457450097246e-05,1.6679457450097246e-05,0.0,1.6679457450097246e-05,0.9712557627218937,0.0,0.606583083560386,0.22042927042516705,0.0785166054345058,0.22042927042516705,0.24728681703347785,0.907320518796062,signal_off,model,-0.0150602988978861,0.0,0.0,0.0,0.0,0.0
