date,rv_proxy,har_forecast,har_forecast_ann_var,har_forecast_vol_pct,vix,vix3m,iv_ann_var,vrp,cm30,cm30_spot_anchored,cm90,slope_cm,slope_vix3m,vix_input_lagged,vrp_aligned,slope_vix3m_aligned,sig_contango,sig_contango_vix3m,sig_vrp,signal,binding
2019-03-06,1.0636133328764016e-05,5.117945599549823e-05,0.012897222910865555,11.356594080473933,15.74,16.74,0.024774760000000003,0.011877537089134449,16.30948275862069,False,16.87142857142857,0.9666924581739613,0.9402628434886501,False,0.011877537089134449,0.9402628434886501,1.0,1.0,1.0,1.0,none
2019-03-07,4.1709144883179655e-05,6.453362668873732e-05,0.016262473925561804,12.752440521547944,16.59,17.3,0.027522809999999998,0.011260336074438194,16.818103448275863,False,17.2,0.9777967121090618,0.9589595375722543,False,0.011260336074438194,0.9589595375722543,1.0,1.0,1.0,1.0,none
2019-03-08,7.563444919252573e-05,6.984099806309461e-05,0.01759993151189984,13.266473348972529,16.05,17.11,0.025760250000000002,0.00816031848810016,16.871551724137934,False,17.291964285714286,0.9756874028519897,0.9380479251899475,False,0.00816031848810016,0.9380479251899475,1.0,1.0,1.0,1.0,none
2019-03-11,1.7576044186198295e-05,5.2741873447654504e-05,0.013290952108808936,11.528639168960462,14.33,16.01,0.020534890000000004,0.007243937891191068,15.707758620689656,False,16.567857142857143,0.9480863146784013,0.8950655840099937,False,0.007243937891191068,0.8950655840099937,1.0,1.0,1.0,1.0,none
2019-03-12,1.4162524405218825e-05,5.062448861914254e-05,0.01275737113202392,11.294853311143054,13.77,15.65,0.01896129,0.006203918867976079,15.426724137931036,False,16.37857142857143,0.9418845962975774,0.8798722044728434,False,0.006203918867976079,0.8798722044728434,1.0,1.0,1.0,1.0,none
2019-03-13,3.979174974871506e-05,6.003153503473542e-05,0.015127946828753324,12.29957187415616,13.41,15.33,0.01798281,0.002854863171246674,15.233620689655172,False,16.189285714285713,0.9409692903382856,0.8747553816046967,False,0.002854863171246674,0.8747553816046967,1.0,1.0,1.0,1.0,none
2019-03-14,8.387761188268691e-06,4.635170682785289e-05,0.011680630120618929,10.807696387583677,13.5,15.3,0.018225,0.006544369879381073,15.131896551724138,False,16.174999999999997,0.9355113787773812,0.8823529411764706,False,0.006544369879381073,0.8823529411764706,1.0,1.0,1.0,1.0,none
2019-03-15,2.6444755335694273e-05,4.731452063280639e-05,0.01192325919946721,10.919367747020525,12.88,14.98,0.01658944,0.00466618080053279,14.730172413793102,False,15.928571428571429,0.9247641874130199,0.8598130841121495,False,0.00466618080053279,0.8598130841121495,1.0,1.0,1.0,1.0,none
2019-03-18,8.570634269170481e-06,4.0079388812715694e-05,0.010100005980804355,10.04987859668183,13.1,15.24,0.017161000000000003,0.007060994019195648,15.025,False,16.082142857142856,0.934266044858983,0.8595800524934383,False,0.007060994019195648,0.8595800524934383,1.0,1.0,1.0,1.0,none
2019-03-19,6.421043169653376e-05,5.288073950454333e-05,0.013325946355144919,11.54380628525311,13.56,15.56,0.01838736,0.00506141364485508,15.147857142857143,False,16.25,0.9321758241758242,0.87146529562982,False,0.00506141364485508,0.87146529562982,1.0,1.0,1.0,1.0,none
2019-03-20,6.20678751230269e-05,5.4369023538844065e-05,0.013700993931788705,11.705124489636454,13.91,15.79,0.01934881,0.005647816068211296,15.370714285714286,False,16.414285714285715,0.9364229765013055,0.8809373020899304,False,0.005647816068211296,0.8809373020899304,1.0,1.0,1.0,1.0,none
2019-03-21,3.8432070616352264e-05,5.776584329660872e-05,0.014556992510745397,12.065236222613047,13.63,15.51,0.01857769,0.004020697489254604,15.147857142857143,False,16.225,0.9336121505613031,0.8787878787878789,False,0.004020697489254604,0.8787878787878789,1.0,1.0,1.0,1.0,none
2019-03-22,6.494098581131635e-05,6.576653949087951e-05,0.016573167951701637,12.873681661320369,16.48,17.37,0.027159040000000002,0.010585872048298365,16.770714285714288,False,17.17857142857143,0.9762577962577963,0.948762233736327,False,0.010585872048298365,0.948762233736327,1.0,1.0,1.0,1.0,none
2019-03-25,4.3509362467914285e-05,7.10528632344875e-05,0.01790532153509085,13.38107676350855,16.33,17.45,0.02666688999999999,0.008761568464909143,16.905,False,17.389285714285716,0.9721503388786198,0.9358166189111747,False,0.008761568464909143,0.9358166189111747,1.0,1.0,1.0,1.0,none
2019-03-26,9.279222916396286e-05,7.960170700043587e-05,0.02005963016410984,14.163202379444359,14.68,16.45,0.021550239999999995,0.001490609835890156,16.09642857142857,False,16.96964285714286,0.9485425655056298,0.8924012158054712,False,0.001490609835890156,0.8924012158054712,1.0,1.0,1.0,1.0,none
2019-03-27,8.755214871255244e-05,8.185724849897368e-05,0.020628026621741367,14.362460312126668,15.15,16.78,0.02295225,0.002324223378258633,16.417857142857144,False,17.317857142857143,0.9480305217570634,0.902860548271752,False,0.002324223378258633,0.902860548271752,1.0,1.0,1.0,1.0,none
2019-03-28,3.851454934301383e-05,7.709282537674318e-05,0.01942739199493928,13.938217961755111,14.43,16.3,0.020822489999999996,0.0013950980050607166,15.910714285714286,False,17.05,0.9331797235023042,0.8852760736196319,False,0.0013950980050607166,0.8852760736196319,1.0,1.0,1.0,1.0,none
2019-03-29,5.8728302840680834e-05,8.016987387386617e-05,0.020202808216214275,14.213658296235446,13.71,15.8,0.01879641,-0.0014063982162142753,15.570714285714285,False,16.746428571428574,0.92979313286415,0.8677215189873417,False,-0.0014063982162142753,0.8677215189873417,1.0,1.0,0.0,0.0,vrp
2019-04-01,7.24720110836767e-05,8.753899459422626e-05,0.022059826637745018,14.852550837396592,13.4,15.46,0.017956000000000003,-0.0041038266377450144,15.315,False,16.4625,0.9302961275626425,0.8667529107373868,False,-0.0041038266377450144,0.8667529107373868,1.0,1.0,0.0,0.0,vrp
2019-04-02,1.1396153330775234e-05,6.261362862948505e-05,0.015778634414630233,12.561303441375117,13.36,15.54,0.01784896,0.002070325585369768,15.389285714285714,False,16.603571428571428,0.9268659926865993,0.8597168597168597,False,0.002070325585369768,0.8597168597168597,1.0,1.0,1.0,1.0,none
2019-04-03,4.215611865295867e-05,6.539762368506979e-05,0.016480201168637586,12.837523580752475,13.74,15.63,0.018878759999999998,0.0023985588313624115,15.400714285714283,False,16.441071428571426,0.9367220593027045,0.8790786948176583,False,0.0023985588313624115,0.8790786948176583,1.0,1.0,1.0,1.0,none
2019-04-04,1.4861316098532132e-05,5.623896867902676e-05,0.014172220107114743,11.904713397270319,13.58,15.48,0.018441640000000002,0.004269419892885259,15.33357142857143,False,16.475,0.9307175373943204,0.8772609819121446,False,0.004269419892885259,0.8772609819121446,1.0,1.0,1.0,1.0,none
2019-04-05,1.0879513442235741e-05,4.896359778072345e-05,0.01233882664074231,11.108027115893403,12.82,15.06,0.016435240000000004,0.004096413359257693,15.019285714285717,False,16.2625,0.9235533106401671,0.851261620185923,False,0.004096413359257693,0.851261620185923,1.0,1.0,1.0,1.0,none
2019-04-08,1.6329367090548818e-05,4.5292535458448834e-05,0.011413718935529105,10.683500800547124,13.18,15.28,0.01737124,0.005957521064470894,15.195,False,16.21785714285714,0.936930191587756,0.862565445026178,False,0.005957521064470894,0.862565445026178,1.0,1.0,1.0,1.0,none
2019-04-09,2.4673541522779125e-05,4.851335834272376e-05,0.012225366302366389,11.056837840163158,14.28,15.99,0.020391839999999994,0.008166473697633606,15.797857142857143,False,16.728571428571428,0.9443637916310846,0.8930581613508443,False,0.008166473697633606,0.8930581613508443,1.0,1.0,1.0,1.0,none
2019-04-10,8.753110543553704e-06,3.941164492118006e-05,0.009931734520137375,9.965808808188815,13.3,15.38,0.017689000000000003,0.007757265479862628,15.312142857142858,False,16.49642857142857,0.9282095691708163,0.8647594278283485,False,0.007757265479862628,0.8647594278283485,1.0,1.0,1.0,1.0,none
2019-04-11,1.3068539557688592e-05,4.0444937234774545e-05,0.010192124183163185,10.095605075062705,13.02,15.25,0.016952039999999995,0.00675991581683681,14.990714285714288,False,16.325,0.9182673375628967,0.8537704918032787,False,0.00675991581683681,0.8537704918032787,1.0,1.0,1.0,1.0,none
2019-04-12,7.960097405246446e-05,5.4810275812120076e-05,0.013812189504654258,11.752527177017825,12.01,14.46,0.01442401,0.0006118204953457409,14.20357142857143,False,16.04642857142857,0.8851546850656578,0.8305670816044259,False,0.0006118204953457409,0.8305670816044259,1.0,1.0,1.0,1.0,none
2019-04-15,1.2882999410459384e-05,4.621232786936978e-05,0.011645506623081186,10.791434855051104,12.32,14.53,0.01517824,0.0035327333769188153,14.255,False,16.055357142857144,0.887865643421199,0.8479008947006195,False,0.0035327333769188153,0.8479008947006195,1.0,1.0,1.0,1.0,none
2019-04-16,2.336435956202697e-05,4.845337975562506e-05,0.012210251698417517,11.050000768514687,12.18,14.47,0.014835239999999998,0.002624988301582481,14.27357142857143,False,16.17857142857143,0.882251655629139,0.8417415342087076,False,0.002624988301582481,0.8417415342087076,1.0,1.0,1.0,1.0,none
2019-04-17,3.2095910759659465e-05,5.553009061144987e-05,0.013993582834085366,11.829447507844721,12.6,14.82,0.015876,0.0018824171659146353,14.335714285714285,True,16.20357142857143,0.8847255895966497,0.8502024291497975,False,0.0018824171659146353,0.8502024291497975,1.0,1.0,1.0,1.0,none
2019-04-18,2.92048662132364e-05,5.729144742624078e-05,0.014437444751412678,12.015591850347064,12.09,14.57,0.01461681,0.00017936524858732164,14.150294117647059,True,16.2,0.8734749455337691,0.8297872340425532,False,0.00017936524858732164,0.8297872340425532,1.0,1.0,1.0,1.0,none
2019-04-22,1.2613393276650052e-05,4.5827776212746836e-05,0.011548599605612202,10.746441087919386,12.42,14.72,0.015425640000000001,0.0038770403943877985,14.175,False,16.064999999999998,0.8823529411764708,0.84375,False,0.0038770403943877985,0.84375,1.0,1.0,1.0,1.0,none
