date,har_forecast,realised_next_h,trailing_rv,rv_proxy
2008-01-25,0.0001946073013646526,0.00020597557520786805,0.0003240517404195146,0.0002721018693689687
2008-01-28,0.0001941368782157741,0.00019945412797177457,0.00033474101269075995,0.0002527520327651002
2008-01-29,0.00015814983573536745,0.0001987430056188549,0.00033847538955742796,0.00011886630338374561
2008-01-30,0.00017118056276643686,0.00018269447110297186,0.0003635781983456691,0.0005960273517045733
2008-01-31,0.00018587815959787734,0.00016404348415912463,0.00038507704117337385,0.0004935871474508307
2008-02-01,0.00015394548669803973,0.00017338532540264956,0.00037952241566983045,6.507330360035314e-05
2008-02-04,0.00012654755799544352,0.00018020020242531296,0.00037855229017692854,2.8771965533864103e-05
2008-02-05,0.00015314438507922612,0.00017352208360797166,0.00038388805433886976,0.00028221960494980716
2008-02-06,0.0001381975281745616,0.00018501629275553515,0.0003859282275525956,0.00017104302195482325
2008-02-07,0.00013557661566362147,0.00017672922525768176,0.0003835982426424106,0.00024148518866104907
2008-02-08,0.0001400876769472824,0.0002086078973406424,0.00038055563396317273,0.00016696091787255047
2008-02-11,0.00015122613688351645,0.00020987747322084597,0.00037311280500147654,0.00013322329051247347
2008-02-12,0.00015299930214243563,0.0002246103366838264,0.00037362394011631006,0.00022698383343537398
2008-02-13,0.0001483884298766504,0.000247002352257723,0.00037591247133318467,0.00015362075725713412
2008-02-14,0.00013087306708281548,0.00028137469878011703,0.00035884686572213586,6.767866040780525e-05
2008-02-15,0.00012144071547509948,0.00030040188523564087,0.00034911693475784937,6.804712953199435e-05
2008-02-19,0.0001350960701442413,0.0002981596190686925,0.00035215937957094954,0.0002524023869090224
2008-02-20,0.0001358361820348822,0.00029949858756376927,0.00034752492867530185,0.0002439573185625663
2008-02-21,0.00013349322970164,0.00030272236672479854,0.0002475046030697686,0.00017374346039254483
2008-02-22,0.00014935593709380286,0.0002911030635879052,0.00021434916650400548,0.0003367631169584855
2008-02-25,0.00014618387477212958,0.00028821626852500794,0.00021366665213977499,0.00014169103372220872
2008-02-26,0.00016254907593646068,0.0002887539629913822,0.0002059755752078679,0.00011058925379891919
2008-02-27,0.00015385005813541158,0.00028759274367934313,0.00019945412797177457,0.00011580164080714179
2008-02-28,0.00014620638890129646,0.00028624558453915826,0.00019874300561885502,0.00010393273397243461
2008-02-29,0.00015397424963215365,0.00028390729774894433,0.00018269447110297186,0.00025900812687102635
2008-03-03,0.00013883846539246687,0.0002830373757376123,0.00016404348415912474,0.00010191642163004135
2008-03-04,0.00015355966892183288,0.0002743571892600409,0.0001733853254026496,0.00026125196971437477
2008-03-05,0.0001554946666017945,0.00027041902005931075,0.0001802002024253129,0.00017188438300979412
2008-03-06,0.00016034323566442566,0.00026952974409579823,0.00017352208360797155,0.00014197910978563843
2008-03-07,0.00017711766106029908,0.00025212605071549965,0.00018501629275553531,0.0004124214140536626
2008-03-10,0.00015240769467708245,0.00025368716373919565,0.00017672922525768185,6.745677120612641e-05
2008-03-11,0.00019452233630644773,0.0002178937988935952,0.0002086078973406423,0.0008364130316147196
2008-03-12,0.00017479806833558642,0.0002207218871766012,0.00020987747322084594,0.00015988438399675066
2008-03-13,0.00020838688716125862,0.00019650579228784628,0.00022461033668382633,0.0005363739661579609
2008-03-14,0.00021892613445579002,0.0001711319355556933,0.0002470023522577232,0.0006238530843089693
2008-03-17,0.00026420595508891106,0.0001385119893784207,0.00028137469878011703,0.0007894979373780752
2008-03-18,0.0002540855959923778,0.00011991839124451675,0.0003004018852356409,0.000467618045097996
2008-03-19,0.0002492501375565122,0.00012109294153312657,0.00029815961906869246,0.0002053147974031045
2008-03-20,0.00024363853650931244,0.00010975483496519272,0.00029949858756376943,0.0002720756569591835
2008-03-24,0.00022827231542552499,0.00010207063535081382,0.0003027223667247983,0.00024144282277415208
2008-03-25,0.00018723427099187788,0.00010099530141316636,0.0002911030635879051,9.275775108372693e-05
2008-03-26,0.00016347673666439872,0.00010661883429013919,0.0002882162685250078,8.106833740136518e-05
2008-03-27,0.00017383308144324137,0.00011027493437416369,0.00028875396299138205,0.00012188083759277859
2008-03-28,0.00015979911222803098,0.00010697585930624814,0.00028759274367934313,9.141603525432499e-05
2008-03-31,0.0001466088601203662,0.00010496022962264765,0.00028624558453915826,7.564239202855204e-05
2008-04-01,0.00016567912141952297,0.00010246604171503346,0.0002839072977489442,0.00020990410427653181
2008-04-02,0.0001538330509517063,9.92912440360145e-05,0.0002830373757376123,8.364805939207041e-05
2008-04-03,0.00014883649523455357,0.00010315655895939784,0.00027435718926004083,7.896805368537371e-05
2008-04-04,0.0001470433198999743,0.00010110351910942603,0.00027041902005931054,8.918282979445879e-05
2008-04-07,0.0001534578929484412,9.947512903132128e-05,0.0002695297440957983,0.00012330431455188147
2008-04-08,0.00013009242787366226,0.00010081918264385905,0.0002521260507154995,4.694385306738675e-05
2008-04-09,0.00013451120731879977,9.813750747966087e-05,0.00025368716373919554,0.00010024014470374393
2008-04-10,0.0001341873566923832,9.599635506488363e-05,0.00021789379889359522,8.475236985711328e-05
2008-04-11,0.00014655720382910812,8.838157917019566e-05,0.0002207218871766011,0.0002192742379398738
2008-04-14,0.00011489777419331744,8.936766492541878e-05,0.00019650579228784636,2.783597349411193e-05
2008-04-15,0.00012465368101448118,9.016548169492887e-05,0.00017113193555569318,9.100209293375164e-05
2008-04-16,0.00012226669027301298,8.659089968406382e-05,0.00013851198937842073,0.00010447906765535417
2008-04-17,0.00011473585857688638,8.626811876478737e-05,0.00011991839124451685,7.715248428601443e-05
2008-04-18,0.00012161594148443872,8.056495638651733e-05,0.00012109294153312653,0.0002299803534639077
2008-04-21,0.00010603458946428849,8.313148562965974e-05,0.00010975483496519274,3.3975419032573674e-05
2008-04-22,0.00010870268149255253,8.462963540764006e-05,0.00010207063535081386,8.007463087219599e-05
2008-04-23,0.00010318029907163677,8.302507385189213e-05,0.00010099530141316635,7.017573839312916e-05
2008-04-24,0.00011777981026293539,7.755696205390128e-05,0.0001066188342901392,0.000199162527817795
2008-04-25,0.00011971155335661981,6.993669045451015e-05,0.00011027493437416372,0.0001986589393572934
2008-04-28,9.844490569906335e-05,7.47132231455809e-05,0.00010697585930624819,2.2135458828099105e-05
2008-04-29,9.46213804456677e-05,7.736343100506696e-05,0.0001049602296226477,3.3314168672941675e-05
2008-04-30,0.00011079937867510886,7.117745107726434e-05,0.00010246604171503341,0.00015752615821663135
2008-05-01,8.015310248255074e-05,7.517339143004317e-05,9.929124403601456e-05,1.6977308132674578e-05
2008-05-02,9.263518154414614e-05,7.359932794733019e-05,0.0001031565589593979,0.00016013966707642427
2008-05-05,8.813352475988604e-05,7.625545776970598e-05,0.0001011035191094261,4.606899294505074e-05
2008-05-06,9.70799321877102e-05,7.498422937649367e-05,9.947512903132136e-05,8.910812291168185e-05
2008-05-07,9.138990262769815e-05,7.782983360186015e-05,0.00010081918264385913,7.51689789306799e-05
2008-05-08,9.289298626844165e-05,8.250617188844004e-05,9.813750747966085e-05,4.39249662555799e-05
2008-05-09,8.411674835951443e-05,8.766169454937033e-05,9.599635506488356e-05,3.978816914679052e-05
2008-05-12,8.698182781058851e-05,8.663318465617003e-05,8.83815791701956e-05,5.93639441514265e-05
2008-05-13,8.085349221995302e-05,9.283319988573994e-05,8.936766492541871e-05,4.8543774353797256e-05
2008-05-14,8.893687002340132e-05,9.373284102857785e-05,9.016548169492885e-05,0.00010775624509346466
2008-05-15,7.841119420587726e-05,9.591245453962715e-05,8.659089968406375e-05,2.941284542718715e-05
2008-05-16,8.500391471855795e-05,9.543554977141588e-05,8.626811876478733e-05,7.037408498120945e-05
2008-05-19,9.110379775342618e-05,9.636277668066058e-05,8.056495638651734e-05,0.0001102139435202378
2008-05-20,9.118833910253222e-05,9.613690442351075e-05,8.313148562965971e-05,8.787253313856368e-05
2008-05-21,9.47530270388347e-05,0.00010010538888552978,8.462963540764012e-05,0.00011153577620978465
2008-05-22,8.79651892309392e-05,9.965473627922951e-05,8.302507385189214e-05,3.647994572242137e-05
2008-05-23,9.409519624666155e-05,0.00010324465417990999,7.755696205390128e-05,8.433218005998715e-05
2008-05-27,8.104569704699854e-05,0.00011016883644504538,6.993669045451014e-05,3.863323577007922e-05
2008-05-28,8.812044126417448e-05,0.00011725830179678375,7.471322314558093e-05,0.00012244264534058577
2008-05-29,8.721015862073189e-05,0.00011703827217856025,7.736343100506693e-05,8.896853372214774e-05
2008-05-30,7.949824584734201e-05,0.00012001342846900232,7.117745107726435e-05,2.762057973277707e-05
2008-06-02,8.64990942780462e-05,0.00012627700533960118,7.517339143004314e-05,0.00010089205554102926
2008-06-03,9.717337775119264e-05,0.00012583561691375907,7.359932794733019e-05,0.00012708433393945255
2008-06-04,9.411686221983412e-05,0.00013196755401016368,7.625545776970594e-05,0.00010184771921494112
2008-06-05,8.985867994190124e-05,0.0001431059126511798,7.498422937649363e-05,6.241232665422357e-05
2008-06-06,0.00010409101282924361,0.00014505194564878168,7.782983360186014e-05,0.00013492666766337633
2008-06-09,0.00010763989904242679,0.0001443500719978069,8.250617188843999e-05,0.00014212807027375707
2008-06-10,0.0001110601189568501,0.0001442293443803431,8.766169454937029e-05,0.00014805414502632667
2008-06-11,9.616112481337344e-05,0.00016625864260795206,8.663318465617e-05,3.776523639422031e-05
2008-06-12,0.00011472613967043513,0.0001688504361861274,9.283319988573986e-05,0.00017874409417476466
